date,open,high,low,close,volume
2020-04-24,6790.62,6822.66,6752.7,6800.0,3691170
2020-04-27,6762.22,6776.42,6751.58,6768.12,1943418
2020-04-28,6793.15,6796.46,6789.31,6790.28,4562379
2020-04-29,6772.68,6778.72,6769.13,6777.01,2639090
2020-04-30,6844.77,6872.25,6805.13,6865.47,6554466
2020-05-01,7010.96,7013.42,7005.45,7006.79,1102001
2020-05-04,6921.91,6930.33,6912.47,6922.92,8111874
2020-05-05,6888.46,6900.34,6884.18,6885.55,3882970
2020-05-06,6817.99,6826.81,6813.65,6819.04,1966564
2020-05-07,6910.05,6917.35,6893.64,6913.7,4580096
2020-05-08,6925.0,6929.07,6918.59,6922.13,2869597
2020-05-11,6878.38,6939.39,6809.71,6858.93,3778182
2020-05-12,6884.33,6887.44,6879.05,6881.0,2744299
2020-05-13,6908.5,6914.99,6898.97,6911.94,2205855
2020-05-14,6788.22,6849.38,6701.36,6806.64,4675557
2020-05-15,6726.66,6750.36,6703.0,6748.3,3954079
2020-05-18,6877.78,6889.18,6850.56,6876.77,4224717
2020-05-19,6739.59,6749.19,6733.27,6736.02,3871899
2020-05-20,6495.09,6499.07,6484.96,6495.29,4931941
2020-05-21,6275.9,6344.41,6193.83,6305.35,3485297
2020-05-22,6321.88,6330.18,6318.35,6319.12,2542572
2020-05-25,6375.92,6383.66,6361.75,6374.54,4885962
2020-05-26,6316.57,6332.05,6287.32,6297.32,9378041
2020-05-27,6155.79,6197.76,6096.15,6181.12,5717443
2020-05-28,6229.93,6261.99,6213.68,6215.37,6758545
2020-05-29,6324.04,6338.87,6304.36,6332.68,4340975
2020-06-01,6361.43,6376.15,6327.3,6363.2,3672128
2020-06-02,6242.77,6262.14,6211.38,6253.13,3870967
2020-06-03,6344.11,6392.12,6310.64,6366.58,3785579
2020-06-04,6660.45,6720.95,6586.12,6602.36,4829094
2020-06-05,6708.05,6717.47,6687.73,6690.83,3736725
2020-06-08,6711.48,6721.18,6705.01,6713.29,2985896
2020-06-09,6790.47,6878.87,6691.46,6803.09,4866312
2020-06-10,6894.62,6911.46,6886.1,6886.4,1218790
2020-06-11,6621.29,6760.04,6552.7,6677.89,2914445
2020-06-12,6715.46,6725.19,6707.27,6713.31,4145008
2020-06-15,6696.1,6699.58,6692.26,6698.1,6394253
2020-06-16,6697.84,6707.13,6692.19,6695.02,4333423
2020-06-17,6628.65,6631.8,6618.2,6622.43,10689118
2020-06-18,6508.63,6584.24,6481.83,6538.53,3489953
2020-06-19,6657.88,6664.82,6635.2,6644.06,3338100
2020-06-22,6657.43,6658.76,6655.73,6655.86,3461564
2020-06-23,6701.15,6732.96,6670.7,6719.51,3703132
2020-06-24,6868.66,6898.12,6832.75,6836.45,5423624
2020-06-25,6933.19,6950.73,6918.8,6924.98,2642283
2020-06-26,6963.28,6972.1,6943.62,6971.61,3343392
2020-06-29,6962.47,6964.48,6959.98,6961.26,3940814
2020-06-30,6977.6,6978.73,6976.06,6976.95,4181272
2020-07-01,6870.45,6894.17,6862.79,6883.57,4291191
2020-07-02,7084.58,7086.33,7082.53,7086.1,5499550
2020-07-03,7044.94,7082.9,7011.04,7013.61,2141266
2020-07-06,6922.11,6936.93,6915.26,6933.83,8818326
2020-07-07,6770.7,6823.27,6711.7,6818.2,5870622
2020-07-08,6822.25,6823.91,6816.82,6822.77,4315005
2020-07-09,6821.27,6835.09,6793.98,6797.9,2032740
2020-07-10,6897.17,6947.79,6846.36,6858.72,3721960
2020-07-13,6955.42,6963.17,6953.06,6956.06,1442455
2020-07-14,6821.15,6843.48,6773.53,6804.29,6805314
2020-07-15,6874.96,6893.64,6818.42,6844.33,2636113
2020-07-16,7010.04,7103.85,6976.29,6989.47,4841080
2020-07-17,7253.69,7360.88,7161.29,7237.12,3698730
2020-07-20,7207.53,7218.98,7199.42,7204.98,2499340
2020-07-21,7189.79,7198.06,7187.71,7196.49,5300750
2020-07-22,7283.77,7291.04,7279.7,7284.89,3586853
2020-07-23,7094.88,7131.14,7061.44,7076.27,4264473
2020-07-24,7031.73,7048.04,6998.81,7021.09,2855399
2020-07-27,7109.81,7121.23,7069.73,7090.37,3407877
2020-07-28,7186.91,7190.91,7182.7,7184.78,3982530
2020-07-29,7081.22,7104.81,7070.66,7073.02,6175237
2020-07-30,7018.07,7031.97,6989.74,7020.43,950191
2020-07-31,7042.22,7042.86,7040.05,7041.99,7601149
2020-08-03,7192.52,7197.02,7176.03,7190.67,6262127
2020-08-04,7310.53,7340.18,7283.2,7299.27,3084253
2020-08-05,7298.55,7303.78,7296.45,7297.85,4869642
2020-08-06,7435.51,7623.63,7321.25,7534.18,1665265
2020-08-07,7624.59,7637.46,7610.8,7625.59,3666703
2020-08-10,7607.58,7613.41,7592.46,7595.73,3265065
2020-08-11,7824.76,7863.56,7764.37,7805.7,4825163
2020-08-12,7946.38,7980.83,7860.21,7898.32,6620161
2020-08-13,7906.63,7910.36,7901.84,7904.6,5148184
2020-08-14,7858.88,7871.62,7853.45,7871.43,2110120
2020-08-17,7785.36,7810.21,7746.92,7800.21,5035199
2020-08-18,7871.33,7882.82,7857.81,7880.9,5004549
2020-08-19,8049.19,8071.23,8006.36,8010.81,3393769
2020-08-20,7810.97,7840.9,7711.2,7831.42,9996103
2020-08-21,7948.04,7979.81,7938.66,7977.15,1278999
2020-08-24,7862.44,7873.95,7830.32,7864.07,7997471
2020-08-25,7803.75,7860.85,7769.69,7821.17,6140505
2020-08-26,7718.61,7746.86,7658.13,7668.66,1259470
2020-08-27,7604.34,7692.69,7506.62,7507.16,8704493
2020-08-28,7534.53,7536.51,7533.01,7536.25,3478253
2020-08-31,7350.58,7382.71,7224.74,7226.09,4922356
2020-09-01,7338.81,7352.2,7318.02,7327.44,4630631
2020-09-02,7615.16,7637.17,7572.9,7577.95,2366927
2020-09-03,7628.33,7634.74,7618.28,7631.76,3162071
2020-09-04,7601.72,7607.1,7596.03,7596.57,2291696
2020-09-07,7599.4,7602.3,7591.4,7593.69,1996619
2020-09-08,7556.32,7559.41,7545.47,7546.61,4014092
2020-09-09,8221.8,8326.08,8043.88,8123.05,10322300
2020-09-10,7911.91,8040.02,7823.86,7927.95,1330984
2020-09-11,7675.69,7748.09,7649.43,7693.13,3260490
