date,open,high,low,close,volume
2020-04-24,40002.73,40011.03,39996.35,40000.0,4547018
2020-04-27,39844.65,40000.22,39679.75,39722.48,4551497
2020-04-28,40185.39,40560.05,40048.37,40235.13,5069362
2020-04-29,40541.04,40637.01,40467.21,40537.22,5559913
2020-04-30,40590.52,40729.56,40447.47,40726.1,4171278
2020-05-01,41305.98,41390.8,41153.09,41337.73,3401099
2020-05-04,41296.24,41315.73,41261.13,41297.81,2668229
2020-05-05,42170.66,42367.74,41794.92,42116.64,3231952
2020-05-06,42328.91,42385.0,42299.17,42309.65,8809663
2020-05-07,42301.91,42308.12,42286.59,42307.13,4402430
2020-05-08,42152.84,42215.7,42119.41,42161.54,1435885
2020-05-11,42512.44,42572.75,42477.61,42554.48,3682240
2020-05-12,42289.6,42505.24,42068.49,42350.16,6173235
2020-05-13,42296.77,42330.5,42233.67,42276.28,1597248
2020-05-14,42356.21,42383.74,42297.37,42303.2,4771061
2020-05-15,42716.35,42787.44,42565.01,42619.34,5221171
2020-05-18,43128.05,43280.7,42841.58,43004.8,1694360
2020-05-19,43295.79,43364.87,43171.18,43274.99,7084994
2020-05-20,43507.74,43730.31,43361.75,43635.19,3728773
2020-05-21,43104.09,43393.51,42850.14,43062.39,4680813
2020-05-22,43099.73,43119.69,43073.01,43099.67,4788101
2020-05-25,43218.97,43248.47,43130.83,43185.12,4757684
2020-05-26,43493.46,43780.7,43196.36,43588.47,2986055
2020-05-27,43491.64,43533.42,43433.27,43476.12,6109452
2020-05-28,43271.18,43395.87,43188.62,43383.64,3494285
2020-05-29,42793.18,43124.25,42596.89,42818.42,3210917
2020-06-01,42720.11,42744.53,42671.36,42684.18,1676394
2020-06-02,42839.84,42892.51,42793.4,42866.6,3082581
2020-06-03,43117.77,43263.38,43029.09,43219.51,3663289
2020-06-04,42937.69,42951.57,42911.38,42925.15,2760112
2020-06-05,42418.54,42633.09,42311.25,42390.03,5529964
2020-06-08,42554.79,42568.56,42518.14,42528.57,3279790
2020-06-09,42548.74,42574.19,42532.32,42535.02,4103676
2020-06-10,42557.27,42571.87,42530.51,42532.58,2210568
2020-06-11,42064.99,42194.78,41861.75,41976.47,3028054
2020-06-12,42621.8,42729.04,42429.17,42579.63,3935587
2020-06-15,42349.14,42491.55,42226.16,42312.85,2455496
2020-06-16,42042.95,42243.17,41807.72,41973.93,3235577
2020-06-17,42359.48,42430.79,42231.37,42346.92,5591085
2020-06-18,42303.27,42331.78,42293.09,42327.01,4602730
2020-06-19,42568.3,42601.5,42494.29,42592.34,2161257
2020-06-22,42853.6,42899.06,42841.68,42845.65,5525117
2020-06-23,43659.16,44038.93,43183.97,43273.79,1132782
2020-06-24,42956.49,42989.72,42933.35,42989.13,2535575
2020-06-25,42900.6,42946.93,42758.71,42809.81,5675749
2020-06-26,42374.37,42501.84,42340.27,42417.56,2367962
2020-06-29,42510.93,42634.4,42427.93,42545.45,2487754
2020-06-30,42579.01,42591.36,42559.97,42590.41,3365137
2020-07-01,42919.75,42975.72,42905.24,42963.51,2347679
2020-07-02,43299.73,43375.32,43122.76,43181.93,5339323
2020-07-03,42746.85,42806.29,42674.75,42714.17,4162274
2020-07-06,42574.06,42616.79,42518.89,42522.36,3225207
2020-07-07,42139.66,42163.43,42077.15,42077.16,3392663
2020-07-08,42442.27,42516.84,42298.19,42378.06,5418070
2020-07-09,42707.14,42726.76,42688.98,42699.58,3555600
2020-07-10,42240.17,42323.23,42067.16,42180.96,2319953
2020-07-13,41966.4,42343.57,41606.72,41866.09,1993389
2020-07-14,41782.94,41804.29,41743.84,41767.15,4964491
2020-07-15,41550.65,41730.46,41165.08,41311.89,2642516
2020-07-16,41084.16,41107.04,41064.37,41088.65,2748942
2020-07-17,41023.32,41025.36,41017.66,41019.89,1796566
2020-07-20,40610.28,40657.8,40585.03,40645.19,2424978
2020-07-21,40064.11,40120.65,39967.63,40046.89,3576050
2020-07-22,40548.87,40651.3,40235.59,40421.69,3038995
2020-07-23,40709.03,40749.72,40646.52,40651.27,2097545
2020-07-24,40762.81,40826.28,40646.66,40804.11,1467265
2020-07-27,40245.51,40565.34,39622.22,39949.79,2492538
2020-07-28,39860.9,39874.3,39834.38,39843.5,1271855
2020-07-29,39671.92,40104.01,39272.02,39338.28,2957374
2020-07-30,39503.13,39511.8,39493.67,39500.54,2627264
2020-07-31,39583.92,39805.1,39450.0,39756.34,5713378
2020-08-03,40272.3,40423.8,40017.16,40341.28,4975471
2020-08-04,40125.14,40144.52,40059.47,40061.07,5899833
