date,open,high,low,close,volume
2020-04-24,800.23,800.55,799.62,800.0,1760468
2020-04-27,797.4,798.39,796.78,796.96,4545481
2020-04-28,801.41,803.25,799.95,802.06,2092450
2020-04-29,794.76,799.54,785.06,791.8,3130965
2020-04-30,800.06,802.71,799.22,802.3,2599334
2020-05-01,805.97,809.12,803.69,806.61,4719583
2020-05-04,808.94,809.14,808.5,808.6,1495673
2020-05-05,801.03,801.68,800.72,801.22,2338826
2020-05-06,800.59,802.78,799.59,802.07,2513696
2020-05-07,814.87,818.22,810.9,814.9,10446886
2020-05-08,820.81,823.12,819.78,820.05,2191347
2020-05-11,814.08,815.0,813.75,814.04,3586783
2020-05-12,810.68,813.42,805.83,807.15,2739744
2020-05-13,800.48,801.33,797.63,797.69,3959923
2020-05-14,806.13,807.36,805.24,806.78,1682098
2020-05-15,800.43,800.74,799.48,800.69,4145682
2020-05-18,796.39,797.24,795.15,796.45,5191483
2020-05-19,797.63,798.38,797.0,798.25,5308467
2020-05-20,784.65,785.17,784.51,784.73,4526546
2020-05-21,783.54,783.73,783.49,783.62,1973018
2020-05-22,792.67,794.23,789.37,790.21,3720187
2020-05-25,801.19,802.82,795.68,800.81,1488620
2020-05-26,807.06,808.22,802.43,804.99,4505725
2020-05-27,799.32,800.14,798.55,799.85,4292764
2020-05-28,803.54,804.04,802.16,803.81,2559112
2020-05-29,803.33,803.43,803.26,803.29,3666800
2020-06-01,802.92,803.4,802.75,803.31,1109682
2020-06-02,808.01,808.53,806.96,808.35,2119828
2020-06-03,797.66,798.38,796.46,797.25,2912807
2020-06-04,794.67,797.05,787.61,788.1,2524446
2020-06-05,806.05,808.35,801.76,802.11,13831957
2020-06-08,794.54,794.74,794.35,794.39,3289745
2020-06-09,794.41,794.47,794.37,794.4,6253898
2020-06-10,790.16,795.9,781.29,782.36,3874873
2020-06-11,783.06,783.24,783.0,783.1,4701756
2020-06-12,786.13,786.84,785.75,786.03,7921073
2020-06-15,776.77,781.58,774.67,775.31,1964626
2020-06-16,784.37,789.31,781.58,784.76,2314278
2020-06-17,783.16,783.33,782.83,783.01,2765916
2020-06-18,797.06,798.33,796.65,797.69,12380360
2020-06-19,788.0,791.64,785.71,790.76,3612986
2020-06-22,792.76,794.06,790.85,793.51,4223224
