date,open,high,low,close,volume
2020-04-24,1599.59,1602.64,1597.85,1600.0,2049149
2020-04-27,1609.46,1612.32,1606.1,1607.2,1687963
2020-04-28,1615.49,1618.06,1613.13,1617.24,2968339
2020-04-29,1610.69,1611.62,1608.13,1609.38,2271605
2020-04-30,1617.13,1617.34,1616.45,1617.1,3674334
2020-05-01,1623.44,1627.61,1621.36,1624.96,1645752
2020-05-04,1616.12,1618.8,1615.18,1617.43,4977052
2020-05-05,1607.43,1610.41,1601.33,1602.11,3562330
2020-05-06,1588.73,1591.03,1579.73,1586.11,3702763
2020-05-07,1587.88,1588.15,1587.19,1587.33,6735055
2020-05-08,1591.91,1592.61,1591.72,1591.8,2648499
2020-05-11,1580.18,1585.01,1577.56,1581.15,2319859
2020-05-12,1581.63,1582.38,1581.42,1581.56,2487751
2020-05-13,1590.01,1591.39,1586.89,1589.3,3012498
2020-05-14,1592.02,1603.05,1578.59,1597.73,3173223
2020-05-15,1609.71,1620.82,1598.23,1619.01,2243550
2020-05-18,1638.15,1640.76,1635.16,1636.74,1227644
2020-05-19,1623.41,1627.38,1621.26,1622.91,2532376
2020-05-20,1644.24,1649.61,1637.38,1646.36,4081840
2020-05-21,1639.12,1639.6,1638.98,1639.0,3546572
2020-05-22,1652.21,1654.17,1649.41,1653.68,6114521
2020-05-25,1655.04,1655.38,1654.44,1654.69,8706409
2020-05-26,1648.45,1649.56,1646.75,1648.95,4828440
2020-05-27,1618.61,1624.35,1614.79,1623.84,6826056
2020-05-28,1621.82,1622.51,1620.24,1621.53,4816996
2020-05-29,1600.56,1600.97,1599.88,1600.22,7991365
2020-06-01,1615.63,1622.8,1612.89,1613.48,8451860
2020-06-02,1625.12,1635.06,1620.51,1634.48,5463719
2020-06-03,1626.24,1628.62,1622.93,1623.49,4747958
2020-06-04,1627.67,1629.47,1626.6,1627.72,2973206
2020-06-05,1613.21,1617.94,1611.45,1617.76,3261104
2020-06-08,1609.53,1610.51,1609.12,1609.19,2804949
2020-06-09,1621.19,1626.13,1619.08,1619.87,4548393
2020-06-10,1619.09,1619.49,1618.71,1619.39,2282347
2020-06-11,1645.85,1648.4,1642.54,1643.58,3103257
2020-06-12,1636.81,1641.16,1634.9,1636.9,1019222
2020-06-15,1648.33,1651.8,1642.48,1650.93,7935148
2020-06-16,1651.92,1652.6,1651.53,1652.35,2935353
2020-06-17,1659.09,1664.03,1655.98,1663.62,4189036
2020-06-18,1658.66,1662.97,1656.5,1657.35,6852636
2020-06-19,1656.46,1656.77,1655.83,1656.71,3803059
2020-06-22,1656.94,1658.0,1653.31,1655.13,6749780
2020-06-23,1643.77,1645.38,1642.18,1643.46,1794334
