date,open,high,low,close,volume
2020-04-24,2388.42,2405.21,2383.97,2400.0,5140749
2020-04-27,2438.78,2454.51,2434.08,2440.39,2451748
2020-04-28,2469.54,2474.54,2458.45,2469.56,1961603
2020-04-29,2493.52,2528.18,2473.28,2490.16,6571338
2020-04-30,2449.15,2466.26,2435.98,2457.88,6100154
2020-05-01,2502.21,2515.72,2457.92,2514.78,6913651
2020-05-04,2501.95,2507.96,2483.16,2483.49,2952597
2020-05-05,2507.62,2522.65,2490.59,2509.99,1760962
2020-05-06,2508.1,2517.12,2489.2,2501.28,2613175
2020-05-07,2485.88,2494.6,2479.24,2483.27,2828253
2020-05-08,2434.52,2442.89,2404.87,2440.63,1847096
2020-05-11,2445.47,2482.65,2406.25,2475.41,2770575
2020-05-12,2456.55,2464.22,2427.6,2447.09,2408196
2020-05-13,2413.07,2419.03,2399.39,2418.76,4618831
2020-05-14,2430.71,2435.71,2427.35,2432.68,3724561
2020-05-15,2459.71,2461.43,2453.01,2457.75,7044435
2020-05-18,2478.23,2493.91,2448.35,2480.72,4018952
2020-05-19,2477.43,2492.53,2472.6,2484.05,1790780
2020-05-20,2428.08,2452.88,2421.77,2443.58,4456772
2020-05-21,2441.23,2445.9,2437.7,2445.76,4549099
2020-05-22,2397.09,2401.32,2385.7,2390.44,1306593
2020-05-25,2400.44,2405.71,2393.43,2400.89,3151825
2020-05-26,2414.44,2428.81,2407.73,2415.92,3154067
2020-05-27,2406.86,2427.78,2399.82,2421.63,3686234
2020-05-28,2399.96,2407.01,2392.32,2396.03,3403439
2020-05-29,2431.53,2447.63,2413.87,2424.16,3002538
2020-06-01,2440.44,2441.73,2437.49,2437.69,6491399
2020-06-02,2377.33,2394.43,2369.2,2371.24,3530916
2020-06-03,2318.33,2330.8,2309.22,2322.89,3374051
2020-06-04,2328.08,2336.57,2325.87,2332.87,2194842
2020-06-05,2324.8,2331.01,2314.23,2319.86,968631
2020-06-08,2268.68,2289.24,2257.21,2289.03,3792087
2020-06-09,2271.58,2294.26,2261.37,2280.54,2191361
2020-06-10,2250.92,2268.86,2245.46,2252.02,3431452
2020-06-11,2262.41,2279.91,2243.58,2266.77,5160348
2020-06-12,2265.77,2266.5,2264.42,2266.46,2077892
2020-06-15,2265.49,2294.68,2252.47,2268.34,2629113
2020-06-16,2235.13,2242.89,2232.86,2235.66,7275410
2020-06-17,2186.88,2192.27,2175.0,2182.95,3760571
2020-06-18,2192.0,2216.23,2184.53,2190.96,2475474
2020-06-19,2217.03,2235.65,2197.31,2200.39,5171871
2020-06-22,2171.02,2179.41,2155.73,2169.77,3822654
2020-06-23,2171.18,2188.49,2154.75,2174.61,3473905
2020-06-24,2138.39,2161.06,2132.1,2150.05,5553029
