date,open,high,low,close,volume
2020-04-24,905.74,909.51,898.87,900.0,5668451
2020-04-27,919.86,930.39,914.61,921.68,2948768
2020-04-28,931.11,937.0,921.73,936.61,2556238
2020-04-29,920.41,929.03,894.45,923.06,2392663
2020-04-30,936.19,953.42,926.73,930.78,2957181
2020-05-01,928.25,932.16,920.31,928.18,4854387
2020-05-04,921.26,927.84,918.57,927.4,2226344
2020-05-05,917.96,919.68,914.59,918.03,5111273
2020-05-06,917.87,921.29,913.68,916.9,2785361
2020-05-07,928.86,936.66,921.14,932.37,2766390
2020-05-08,916.38,918.99,914.74,917.79,10321430
2020-05-11,918.71,923.5,912.25,918.57,5841646
2020-05-12,951.85,957.52,941.61,946.65,2638555
2020-05-13,934.76,950.56,924.21,938.8,1962186
2020-05-14,934.01,941.06,923.53,932.37,4003075
2020-05-15,946.56,954.18,941.89,947.38,2131646
2020-05-18,947.23,950.01,943.39,949.25,5985759
2020-05-19,934.56,957.93,921.96,947.97,3629756
2020-05-20,977.39,980.58,969.15,978.03,1669900
2020-05-21,956.46,958.35,953.96,954.15,4105425
2020-05-22,953.82,956.81,948.79,952.22,5102731
2020-05-25,940.98,945.4,939.46,944.16,2586028
2020-05-26,916.38,916.96,915.87,916.62,1414425
2020-05-27,900.9,918.21,891.56,902.17,7952557
2020-05-28,914.13,921.52,892.48,902.1,10664576
2020-05-29,877.52,884.67,875.38,876.9,1862120
2020-06-01,879.13,885.37,868.02,875.3,3913894
2020-06-02,868.95,875.92,866.49,871.45,1487568
2020-06-03,893.83,898.87,887.34,888.47,2523808
2020-06-04,890.33,894.95,881.27,894.3,2427531
2020-06-05,895.88,898.06,890.28,894.13,1951866
2020-06-08,906.19,918.73,887.44,893.46,1055611
2020-06-09,883.14,898.36,871.69,886.5,2579833
2020-06-10,877.75,879.42,876.52,878.97,2999255
2020-06-11,879.28,883.75,869.36,880.3,2353029
2020-06-12,865.07,873.8,856.68,864.69,5616902
2020-06-15,854.06,858.41,840.72,842.04,3775947
2020-06-16,836.15,838.26,835.36,836.79,4751879
2020-06-17,837.25,850.95,832.71,844.46,2021171
2020-06-18,833.65,842.59,826.2,832.15,1818262
2020-06-19,790.12,793.25,784.19,791.26,4320975
2020-06-22,799.02,804.67,793.87,799.22,6017833
2020-06-23,800.62,813.5,794.03,799.58,3324134
2020-06-24,793.07,810.49,784.4,794.09,3386749
2020-06-25,808.94,819.98,784.52,792.19,1729936
2020-06-26,795.78,803.57,787.64,799.38,1925855
2020-06-29,810.31,824.96,804.81,817.96,2058813
2020-06-30,808.45,816.18,802.88,813.24,3180781
2020-07-01,814.41,817.39,809.29,811.9,1902599
2020-07-02,838.71,842.58,833.86,841.03,4860501
2020-07-03,846.78,863.91,840.0,853.15,2320765
2020-07-06,829.15,837.64,822.76,835.53,2603340
2020-07-07,816.15,821.35,804.85,813.87,2076739
2020-07-08,847.27,865.87,840.51,848.26,6687667
2020-07-09,820.95,823.5,813.98,821.01,2265338
2020-07-10,831.18,839.68,827.1,832.56,2592984
2020-07-13,826.47,829.76,820.65,822.2,5101016
2020-07-14,831.84,836.19,814.91,826.64,4805421
2020-07-15,847.81,850.73,841.23,843.58,1910481
2020-07-16,811.18,821.66,800.44,813.92,2711078
2020-07-17,816.73,819.56,808.32,812.11,3425024
2020-07-20,834.09,840.74,832.32,833.75,2512863
2020-07-21,840.07,852.11,834.8,849.43,9103719
2020-07-22,884.16,885.28,880.77,883.69,8576778
2020-07-23,864.37,876.24,860.4,869.93,2346248
