date,open,high,low,close,volume
2020-04-24,1500.42,1501.21,1497.26,1500.0,5550049
2020-04-27,1512.85,1519.85,1508.92,1513.33,7222028
2020-04-28,1514.69,1515.13,1514.09,1514.17,1636322
2020-04-29,1497.53,1502.7,1495.87,1495.88,2898556
2020-04-30,1484.72,1487.2,1483.44,1486.49,3714993
2020-05-01,1486.09,1486.27,1485.59,1486.25,7092407
2020-05-04,1490.87,1493.95,1488.92,1491.02,2235121
2020-05-05,1473.85,1475.11,1472.96,1473.09,4266813
2020-05-06,1469.73,1470.28,1469.19,1469.32,2670865
2020-05-07,1457.06,1458.47,1451.76,1457.27,4842422
2020-05-08,1463.17,1464.46,1460.37,1461.28,5015807
2020-05-11,1466.25,1468.46,1464.72,1465.87,3461349
2020-05-12,1467.95,1468.38,1467.0,1467.29,2254747
2020-05-13,1463.77,1464.29,1461.92,1463.6,4572474
2020-05-14,1467.75,1468.36,1466.96,1467.24,4216600
2020-05-15,1477.44,1479.08,1473.99,1476.24,8922483
2020-05-18,1477.97,1481.12,1475.58,1480.13,2476571
2020-05-19,1480.82,1481.29,1480.2,1481.0,5150812
2020-05-20,1466.35,1469.58,1459.12,1467.25,2957495
2020-05-21,1483.96,1487.35,1482.8,1482.82,4229871
2020-05-22,1473.77,1474.52,1472.1,1474.28,2891863
2020-05-25,1488.86,1494.21,1475.44,1489.31,1755146
2020-05-26,1498.54,1501.89,1496.46,1498.15,3977466
2020-05-27,1480.46,1486.65,1478.42,1481.5,3405835
2020-05-28,1492.41,1495.4,1490.12,1491.28,1762334
2020-05-29,1496.64,1501.11,1493.86,1494.6,3606607
2020-06-01,1502.61,1503.36,1502.03,1502.96,4657725
2020-06-02,1501.64,1502.73,1499.38,1499.75,5829956
2020-06-03,1488.06,1490.63,1487.25,1490.58,2644850
2020-06-04,1490.28,1490.51,1490.11,1490.33,5872658
2020-06-05,1486.9,1488.83,1484.53,1488.78,1094759
2020-06-08,1494.69,1495.72,1493.83,1495.36,3395598
2020-06-09,1503.38,1507.51,1500.26,1500.9,7296044
2020-06-10,1498.69,1499.03,1497.67,1498.53,5576826
2020-06-11,1500.74,1502.86,1500.14,1501.64,4736940
2020-06-12,1500.58,1501.58,1500.19,1501.28,7144648
2020-06-15,1506.74,1507.14,1505.92,1505.99,4824472
2020-06-16,1509.82,1510.8,1509.17,1509.5,1997480
2020-06-17,1516.79,1521.7,1515.2,1520.56,4538287
2020-06-18,1503.74,1507.19,1499.06,1500.83,3587397
2020-06-19,1500.4,1501.18,1499.96,1500.09,1694526
2020-06-22,1503.41,1505.44,1498.38,1504.8,3069480
2020-06-23,1502.58,1503.5,1499.12,1499.28,3603019
2020-06-24,1531.94,1556.82,1521.85,1541.15,2789695
2020-06-25,1520.99,1523.11,1519.22,1523.04,3503441
2020-06-26,1496.35,1510.67,1484.76,1505.92,5853615
2020-06-29,1534.64,1537.1,1527.25,1533.39,6900022
2020-06-30,1542.38,1544.14,1537.29,1542.17,3746297
2020-07-01,1543.04,1543.12,1542.88,1543.1,4433185
2020-07-02,1530.4,1535.13,1526.81,1535.12,4514150
2020-07-03,1560.44,1563.33,1553.49,1562.62,1150594
2020-07-06,1550.18,1554.07,1541.65,1553.33,3112457
2020-07-07,1538.19,1539.01,1537.36,1538.97,1754355
2020-07-08,1538.13,1539.54,1537.72,1538.93,6150677
2020-07-09,1547.08,1552.24,1545.7,1549.17,2480631
2020-07-10,1550.36,1550.79,1550.13,1550.52,1644373
2020-07-13,1560.31,1562.86,1557.34,1561.33,6250844
2020-07-14,1549.2,1550.55,1547.55,1548.86,3299829
2020-07-15,1542.85,1544.53,1542.04,1544.43,5085636
2020-07-16,1548.19,1550.39,1547.22,1547.67,1627972
