date,open,high,low,close,volume
2020-04-24,17509.62,17531.08,17498.15,17500.0,7545345
2020-04-27,17452.19,17457.72,17445.49,17448.69,5407213
2020-04-28,17215.94,17312.42,17191.07,17305.83,4385746
2020-04-29,17164.63,17207.62,17144.88,17190.49,3031433
2020-04-30,17270.77,17291.82,17249.25,17276.56,3408793
2020-05-01,17331.38,17333.08,17330.3,17332.91,1842957
2020-05-04,17496.31,17540.09,17373.16,17517.1,1983494
2020-05-05,17662.02,17738.08,17574.25,17646.12,2320202
2020-05-06,17708.08,17776.44,17653.65,17721.65,5694257
2020-05-07,17903.12,17940.31,17873.99,17882.22,2304448
2020-05-08,17841.85,17862.96,17769.45,17843.59,3289001
2020-05-11,17907.68,17914.41,17904.1,17906.29,4396731
2020-05-12,17827.51,17865.54,17771.55,17797.06,2520778
2020-05-13,17816.36,17821.0,17797.84,17807.44,2367643
2020-05-14,17630.03,17771.53,17537.5,17635.01,1043029
2020-05-15,17761.67,17772.89,17751.25,17762.32,3720391
2020-05-18,17930.27,17980.66,17904.05,17906.47,5001614
2020-05-19,18011.43,18017.28,17994.45,17998.77,3670759
2020-05-20,17976.89,18025.27,17938.72,17958.74,5437030
2020-05-21,18138.76,18320.19,18032.69,18134.08,5069584
2020-05-22,18086.37,18102.1,18079.7,18095.62,2188630
2020-05-25,18146.02,18171.41,18121.76,18133.55,4125859
2020-05-26,18156.73,18171.88,18151.48,18152.1,1881361
2020-05-27,18321.57,18393.06,18290.58,18383.94,2816968
2020-05-28,18423.79,18427.73,18416.79,18425.75,3169984
2020-05-29,18544.99,18592.25,18470.11,18559.86,2075446
2020-06-01,18456.33,18480.14,18437.08,18473.4,5567485
2020-06-02,18458.24,18467.91,18454.68,18464.95,2228854
2020-06-03,18704.21,18748.95,18623.28,18666.62,1795494
2020-06-04,18743.76,18790.25,18721.6,18786.54,2887561
2020-06-05,18765.08,18773.16,18745.12,18756.52,5622664
2020-06-08,18707.06,18756.31,18692.5,18705.47,3335083
2020-06-09,18759.56,18823.04,18733.0,18785.98,928454
2020-06-10,18910.34,19106.24,18831.44,19054.07,3699290
2020-06-11,19053.53,19056.01,19049.33,19051.75,3941952
2020-06-12,18904.9,18926.86,18890.07,18925.97,6518093
2020-06-15,18716.82,18854.18,18579.86,18795.97,3665470
2020-06-16,18622.65,18650.43,18613.87,18643.2,3888665
2020-06-17,18759.23,18778.19,18737.56,18750.32,2650933
2020-06-18,18614.22,18694.66,18590.5,18668.14,4788932
2020-06-19,18760.64,18775.48,18706.34,18708.6,2515738
2020-06-22,18686.24,19021.98,18544.67,18963.15,1233107
