date,open,high,low,close,volume
2020-04-24,2500.49,2514.77,2495.36,2500.0,4597523
2020-04-27,2478.59,2497.01,2416.18,2495.01,3314047
2020-04-28,2520.68,2539.18,2514.96,2524.78,1048942
2020-04-29,2598.89,2619.95,2586.06,2594.67,5098632
2020-04-30,2571.2,2589.74,2559.89,2585.11,3253484
2020-05-01,2582.71,2614.12,2562.43,2575.59,6007857
2020-05-04,2642.17,2652.62,2637.73,2649.5,1997506
2020-05-05,2698.32,2712.5,2669.54,2686.79,686400
2020-05-06,2629.33,2686.56,2607.79,2665.81,3817484
2020-05-07,2699.59,2727.85,2660.4,2692.63,3857782
2020-05-08,2670.63,2702.74,2658.49,2671.88,1425472
2020-05-11,2635.64,2668.28,2625.2,2651.19,2035354
2020-05-12,2682.68,2694.49,2648.04,2663.7,13085035
2020-05-13,2561.97,2585.07,2551.39,2576.44,2992694
2020-05-14,2519.17,2532.43,2489.29,2500.33,4993861
2020-05-15,2475.04,2480.46,2469.01,2476.74,2405934
2020-05-18,2429.77,2493.7,2408.83,2433.96,1189573
2020-05-19,2451.05,2458.76,2424.77,2448.57,3038166
2020-05-20,2391.71,2415.62,2378.94,2410.72,2951650
2020-05-21,2357.56,2360.14,2351.08,2352.44,2807606
2020-05-22,2403.47,2418.53,2396.98,2415.11,3249222
2020-05-25,2400.12,2410.46,2374.52,2406.57,3757237
2020-05-26,2409.87,2428.56,2404.96,2410.5,3042523
2020-05-27,2360.0,2375.52,2344.04,2351.71,1823370
2020-05-28,2322.84,2349.65,2270.42,2330.26,4244994
2020-05-29,2358.33,2368.76,2325.15,2335.85,1239346
2020-06-01,2314.6,2334.42,2256.53,2289.92,1219286
2020-06-02,2310.48,2318.55,2292.37,2306.16,4797588
2020-06-03,2295.8,2309.51,2258.18,2282.86,4297808
2020-06-04,2254.51,2323.91,2221.92,2272.14,3206430
2020-06-05,2228.81,2258.39,2211.39,2249.14,1660149
2020-06-08,2318.78,2386.2,2278.61,2324.86,2446491
2020-06-09,2298.97,2325.48,2279.29,2325.33,2867725
2020-06-10,2286.88,2303.61,2273.94,2283.35,1525508
2020-06-11,2308.72,2319.75,2296.44,2317.74,2326658
2020-06-12,2261.02,2271.74,2256.52,2269.36,4720793
2020-06-15,2267.88,2300.9,2215.18,2278.74,6728523
2020-06-16,2204.27,2209.05,2202.21,2202.29,2831467
2020-06-17,2150.01,2158.33,2144.77,2152.24,4991231
2020-06-18,2153.84,2168.03,2139.54,2160.68,1265228
2020-06-19,2192.89,2205.45,2166.47,2189.97,4668271
2020-06-22,2211.7,2220.63,2195.57,2197.56,2202110
2020-06-23,2187.57,2198.11,2172.56,2194.05,3824231
2020-06-24,2184.34,2200.85,2177.49,2183.39,2916279
2020-06-25,2124.99,2140.2,2107.95,2128.12,6650572
2020-06-26,2100.45,2122.18,2093.11,2102.19,2162987
2020-06-29,2073.75,2086.72,2064.11,2086.1,4542811
2020-06-30,2118.3,2126.5,2111.64,2126.3,2951154
2020-07-01,2130.58,2164.76,2120.72,2140.16,3059507
2020-07-02,2076.07,2085.97,2070.39,2075.55,3164740
2020-07-03,2088.6,2088.92,2087.52,2088.36,2168183
2020-07-06,2081.76,2093.1,2043.33,2075.14,3287294
2020-07-07,2060.0,2081.59,2044.91,2051.41,3241074
2020-07-08,2076.49,2086.82,2073.47,2074.58,3770917
2020-07-09,2073.05,2113.81,2054.95,2113.58,3537126
2020-07-10,2148.23,2179.37,2124.23,2149.53,5036251
2020-07-13,2129.64,2142.76,2086.04,2118.87,5336469
2020-07-14,2094.31,2115.09,2086.03,2108.28,1952589
2020-07-15,2128.41,2135.25,2115.26,2121.56,5110834
2020-07-16,2130.94,2163.61,2119.15,2159.33,1870126
2020-07-17,2141.33,2143.39,2133.67,2142.1,4456281
2020-07-20,2136.15,2148.01,2127.24,2136.04,4481746
2020-07-21,2096.33,2097.24,2094.5,2095.68,1305087
2020-07-22,2041.31,2063.4,2026.25,2052.83,3566080
2020-07-23,2073.96,2084.8,2059.2,2083.38,2662740
2020-07-24,2139.14,2179.38,2120.62,2134.75,2345925
2020-07-27,2117.87,2154.19,2103.2,2132.98,6433863
2020-07-28,2173.45,2175.34,2167.36,2172.03,2443149
2020-07-29,2203.28,2214.89,2168.37,2186.89,2214098
2020-07-30,2172.77,2176.83,2161.64,2163.1,3469391
2020-07-31,2186.07,2213.17,2149.37,2177.89,4668419
2020-08-03,2255.13,2267.64,2227.93,2238.76,3213417
2020-08-04,2238.78,2243.39,2237.32,2238.33,5859469
2020-08-05,2315.69,2338.29,2300.56,2301.98,4502065
2020-08-06,2188.26,2202.45,2179.25,2198.99,1200778
2020-08-07,2214.5,2240.05,2179.01,2232.09,2583620
2020-08-10,2234.08,2251.02,2222.14,2236.5,2478146
2020-08-11,2224.23,2232.84,2220.74,2225.71,4194575
2020-08-12,2222.89,2239.46,2201.97,2230.3,883546
2020-08-13,2153.6,2158.3,2143.2,2154.41,12502619
2020-08-14,2124.26,2150.67,2104.38,2147.02,4292412
2020-08-17,2151.34,2161.61,2147.36,2161.54,3569105
2020-08-18,2212.69,2229.87,2204.68,2219.6,6214780
2020-08-19,2191.65,2228.1,2172.67,2200.37,10735652
2020-08-20,2169.57,2191.98,2155.83,2170.17,5192053
2020-08-21,2170.06,2185.81,2147.79,2152.0,5341876
2020-08-24,2214.98,2247.12,2173.98,2187.99,3605526
2020-08-25,2195.47,2223.45,2150.29,2201.68,3083687
2020-08-26,2183.27,2213.73,2161.44,2182.16,2622803
2020-08-27,2197.53,2208.21,2173.25,2202.97,2203927
2020-08-28,2206.22,2235.06,2192.5,2207.72,2328622
2020-08-31,2253.35,2289.6,2219.7,2246.75,1722300
2020-09-01,2227.22,2232.8,2215.34,2220.08,3222507
2020-09-02,2213.61,2225.99,2208.1,2208.25,1423015
2020-09-03,2187.35,2207.38,2180.09,2194.0,3643036
2020-09-04,2177.78,2197.68,2123.9,2139.03,3373082
2020-09-07,2146.29,2163.61,2134.46,2151.17,3558072
2020-09-08,2166.79,2171.02,2160.18,2162.05,2543297
2020-09-09,2162.27,2197.06,2152.73,2163.2,15240842
2020-09-10,2144.97,2159.4,2122.01,2155.21,6500741
2020-09-11,2093.56,2103.34,2087.32,2103.0,1840621
2020-09-14,2077.99,2101.18,2070.93,2088.37,3723956
2020-09-15,2077.39,2079.33,2074.86,2076.7,2439113
2020-09-16,2035.64,2069.51,2017.84,2048.42,2022435
2020-09-17,2049.65,2069.38,2034.64,2043.5,1680770
2020-09-18,2045.77,2062.47,2040.26,2059.02,4119028
2020-09-21,2107.28,2130.23,2097.98,2129.61,2481943
2020-09-22,2135.31,2158.23,2121.33,2137.12,5341014
2020-09-23,2142.84,2157.87,2137.72,2147.79,5426509
2020-09-24,2158.16,2166.01,2135.03,2145.92,6509039
2020-09-25,2071.0,2079.22,2068.9,2075.42,2277247
2020-09-28,2088.61,2112.96,2065.19,2075.36,4146349
2020-09-29,2083.6,2108.66,2074.14,2078.48,4498374
2020-09-30,2181.59,2208.81,2164.57,2171.73,2805366
2020-10-01,2181.28,2199.04,2126.37,2165.33,2235561
2020-10-02,2161.9,2182.65,2153.13,2177.83,7394237
2020-10-05,2188.5,2192.87,2173.06,2177.45,3664099
2020-10-06,2127.18,2157.45,2112.71,2133.97,4674061
2020-10-07,2178.93,2192.34,2154.57,2178.38,2256511
2020-10-08,2226.58,2251.11,2199.13,2208.43,1825553
2020-10-09,2240.64,2256.52,2197.55,2240.45,2529805
2020-10-12,2209.45,2217.15,2200.67,2205.76,3168323
2020-10-13,2279.18,2313.66,2241.73,2262.02,2016810
2020-10-14,2201.83,2221.89,2192.51,2207.74,3410972
2020-10-15,2218.93,2249.22,2205.96,2231.69,1435608
2020-10-16,2321.32,2327.98,2301.35,2320.63,2013176
2020-10-19,2288.51,2312.87,2272.49,2281.44,4727711
2020-10-20,2256.17,2297.1,2226.14,2259.75,4505515
2020-10-21,2265.1,2265.49,2264.35,2264.73,2699147
2020-10-22,2240.12,2263.6,2224.25,2245.69,1998402
2020-10-23,2189.46,2196.7,2165.06,2186.06,2061042
2020-10-26,2187.19,2205.37,2154.46,2189.67,2721404
2020-10-27,2170.42,2195.78,2138.35,2149.97,4677155
2020-10-28,2164.82,2172.09,2145.3,2168.96,5291202
2020-10-29,2125.45,2143.26,2120.14,2135.0,2630807
2020-10-30,2183.84,2199.43,2175.29,2195.14,1938299
2020-11-02,2167.73,2196.85,2140.95,2165.98,3837460
2020-11-03,2148.63,2176.81,2134.35,2154.65,2188353
2020-11-04,2203.3,2214.54,2182.78,2186.75,2597401
2020-11-05,2148.8,2155.61,2128.2,2140.73,6611356
2020-11-06,2146.51,2174.11,2123.53,2150.28,4987382
2020-11-09,2194.07,2213.91,2180.55,2201.4,3703939
2020-11-10,2158.66,2167.67,2127.27,2140.8,1827327
2020-11-11,2144.87,2165.08,2127.17,2148.73,3660329
2020-11-12,2165.42,2182.32,2148.97,2159.55,5617097
2020-11-13,2179.05,2208.05,2158.81,2190.5,2786355
2020-11-16,2163.34,2176.43,2124.92,2144.17,6698702
2020-11-17,2101.22,2129.03,2068.39,2095.73,6524409
2020-11-18,2116.55,2123.27,2103.67,2116.04,7655802
2020-11-19,2127.56,2133.74,2114.0,2128.09,3851270
2020-11-20,2141.25,2168.51,2122.69,2138.46,4427585
2020-11-23,2151.18,2165.18,2139.25,2152.51,6716713
2020-11-24,2133.35,2138.05,2121.92,2127.78,4183018
2020-11-25,2150.83,2186.43,2125.27,2137.45,2567426
2020-11-26,2151.95,2164.12,2126.53,2149.48,2641570
2020-11-27,2129.06,2144.35,2079.39,2123.5,3772720
2020-11-30,2192.81,2196.83,2187.38,2195.51,1829012
2020-12-01,2205.95,2221.2,2178.23,2214.91,3096590
2020-12-02,2193.09,2204.9,2167.62,2169.81,5888992
2020-12-03,2202.6,2207.85,2189.92,2196.04,1119204
2020-12-04,2156.2,2171.87,2144.04,2159.56,7276759
2020-12-07,2191.07,2215.58,2183.71,2190.72,5893906
2020-12-08,2236.38,2245.57,2229.13,2236.93,2706103
2020-12-09,2210.83,2225.34,2188.67,2205.75,4409977
2020-12-10,2251.99,2269.36,2236.58,2244.54,3388317
2020-12-11,2289.85,2309.01,2254.37,2261.93,6139894
2020-12-14,2309.99,2345.94,2284.58,2295.98,5502883
2020-12-15,2375.07,2402.87,2336.54,2375.14,1733334
2020-12-16,2354.61,2371.46,2346.97,2365.92,4418797
2020-12-17,2334.84,2342.54,2320.56,2335.7,3025452
2020-12-18,2292.6,2307.84,2275.6,2300.35,3511171
2020-12-21,2270.83,2288.07,2262.63,2268.49,2334788
2020-12-22,2273.55,2287.04,2265.46,2266.4,7849083
2020-12-23,2289.08,2295.16,2277.83,2281.08,5569758
2020-12-24,2291.1,2297.3,2285.15,2293.25,2282309
2020-12-25,2306.63,2334.94,2292.71,2327.98,1727716
2020-12-28,2328.46,2335.66,2302.86,2329.53,2699294
2020-12-29,2404.35,2431.76,2357.88,2391.08,4274133
2020-12-30,2387.03,2393.36,2365.32,2380.99,3717359
2020-12-31,2488.87,2518.55,2463.97,2499.11,6709250
2021-01-01,2531.23,2545.69,2517.61,2527.96,4963646
2021-01-04,2506.46,2522.06,2462.36,2491.12,5464155
2021-01-05,2422.74,2450.27,2393.5,2445.58,3991435
2021-01-06,2478.67,2501.43,2440.83,2467.57,1661267
2021-01-07,2458.39,2469.34,2452.45,2458.94,2985058
2021-01-08,2484.58,2508.37,2463.65,2491.2,5698866
2021-01-11,2514.24,2527.25,2509.33,2513.19,3241865
2021-01-12,2515.68,2526.65,2510.43,2511.06,4211096
2021-01-13,2474.07,2507.36,2465.72,2474.93,2868231
2021-01-14,2379.88,2411.28,2370.85,2410.73,2056094
2021-01-15,2394.59,2400.69,2372.15,2392.87,3119211
2021-01-18,2419.68,2474.14,2390.95,2430.36,3933894
2021-01-19,2439.16,2446.85,2427.72,2440.63,2375106
2021-01-20,2424.41,2454.4,2353.26,2388.64,3030714
2021-01-21,2400.23,2411.34,2387.67,2397.0,2057974
2021-01-22,2389.54,2459.4,2360.75,2414.41,5803610
2021-01-25,2384.46,2397.06,2362.36,2378.1,2906971
2021-01-26,2381.17,2395.23,2363.26,2385.61,6801544
2021-01-27,2404.53,2421.72,2374.13,2389.11,7041293
2021-01-28,2352.47,2359.14,2339.39,2342.46,3263007
2021-01-29,2350.56,2361.78,2309.55,2358.32,2001057
2021-02-01,2393.8,2413.69,2370.06,2382.81,1175850
2021-02-02,2415.81,2435.21,2402.61,2429.84,1627121
2021-02-03,2473.69,2498.8,2437.68,2476.51,1707311
2021-02-04,2383.59,2432.98,2367.9,2418.12,6823283
2021-02-05,2390.42,2394.32,2379.4,2379.5,3575475
2021-02-08,2395.07,2444.72,2376.55,2402.27,4047747
2021-02-09,2408.45,2435.33,2390.77,2425.2,1097576
2021-02-10,2463.8,2479.4,2429.17,2448.41,1830109
2021-02-11,2622.67,2634.07,2608.27,2621.73,5790615
2021-02-12,2644.61,2682.98,2614.92,2649.43,3852326
2021-02-15,2687.79,2721.67,2656.0,2704.22,3161382
2021-02-16,2749.39,2755.22,2734.93,2751.32,4485549
2021-02-17,2769.06,2784.77,2758.41,2784.34,7583436
2021-02-18,2770.51,2793.12,2711.86,2770.11,2956950
2021-02-19,2801.76,2827.95,2792.9,2808.68,3477981
2021-02-22,2770.95,2775.42,2762.04,2771.87,3694440
2021-02-23,2767.3,2773.79,2751.53,2761.53,10891593
2021-02-24,2716.02,2764.92,2694.14,2739.2,1162907
2021-02-25,2736.74,2757.07,2719.56,2744.36,4617537
2021-02-26,2857.73,2881.84,2847.42,2859.98,3341406
2021-03-01,2770.25,2779.46,2754.96,2768.54,4622067
2021-03-02,2829.57,2854.72,2802.19,2803.48,2412303
2021-03-03,2726.02,2737.59,2709.96,2726.06,3368630
2021-03-04,2657.31,2711.08,2632.25,2704.65,4739068
2021-03-05,2761.39,2785.54,2749.66,2758.31,16110739
2021-03-08,2766.51,2804.13,2755.6,2762.66,4911844
2021-03-09,2711.66,2762.36,2678.8,2711.83,2218704
2021-03-10,2697.1,2722.26,2668.05,2679.01,2709250
2021-03-11,2736.74,2748.75,2706.64,2712.51,2670676
2021-03-12,2668.45,2694.61,2629.19,2678.96,1365128
2021-03-15,2699.86,2763.23,2645.61,2690.39,2795255
2021-03-16,2703.13,2709.83,2680.46,2693.74,4727459
2021-03-17,2665.85,2669.33,2659.88,2664.13,1766922
2021-03-18,2801.74,2813.2,2765.86,2768.02,5944435
2021-03-19,2824.62,2859.83,2786.99,2800.38,4268885
2021-03-22,2720.66,2762.28,2697.72,2703.3,2424330
2021-03-23,2704.71,2748.1,2691.62,2713.4,3068392
2021-03-24,2689.88,2712.17,2650.98,2683.09,7432542
2021-03-25,2716.53,2742.02,2706.98,2724.93,4863432
2021-03-26,2685.67,2710.43,2670.38,2688.29,3372314
2021-03-29,2681.19,2699.69,2661.19,2684.03,2911914
2021-03-30,2710.03,2732.7,2683.57,2709.24,3460160
2021-03-31,2744.1,2752.24,2733.74,2752.14,2610507
2021-04-01,2692.07,2700.52,2688.45,2695.67,1188558
2021-04-02,2673.17,2693.85,2657.71,2680.99,9174610
2021-04-05,2670.57,2679.39,2658.85,2659.79,3589103
2021-04-06,2648.51,2657.07,2617.82,2630.47,4077519
2021-04-07,2711.09,2717.41,2700.03,2714.87,3376298
2021-04-08,2766.37,2778.31,2729.85,2735.53,2297870
2021-04-09,2695.8,2708.88,2670.71,2676.54,3108697
2021-04-12,2714.95,2727.0,2699.92,2721.42,1518175
2021-04-13,2829.6,2847.91,2821.18,2826.46,10979647
2021-04-14,2894.93,2936.56,2832.48,2879.67,1829158
2021-04-15,2799.96,2807.21,2790.18,2804.76,2054192
2021-04-16,2780.46,2785.71,2773.74,2782.13,2665609
