date,open,high,low,close,volume
2020-04-24,450.13,450.58,449.54,450.0,3591184
2020-04-27,449.75,453.32,447.59,450.82,5154384
2020-04-28,460.93,462.68,456.9,459.48,2123977
2020-04-29,450.06,451.66,448.54,450.18,12242913
2020-04-30,450.88,452.36,449.69,450.92,5864421
2020-05-01,449.81,450.7,446.54,450.65,3168133
2020-05-04,449.28,450.93,447.28,448.28,3693278
2020-05-05,440.9,441.64,439.29,441.02,9120145
2020-05-06,438.57,440.77,433.49,438.74,7384251
2020-05-07,462.11,464.88,454.28,456.3,2427941
2020-05-08,454.22,458.9,451.04,452.89,1469904
2020-05-11,448.96,449.71,447.22,448.96,2733519
2020-05-12,443.59,449.81,437.37,440.45,5565315
2020-05-13,445.82,446.84,442.15,445.51,8096367
2020-05-14,445.62,448.54,434.67,441.82,3908829
2020-05-15,439.03,445.51,431.79,441.14,1954182
2020-05-18,434.44,437.45,431.69,433.34,3562302
2020-05-19,426.16,428.9,423.11,426.84,3238933
2020-05-20,421.56,423.09,418.35,422.46,1117148
2020-05-21,420.82,422.44,418.1,421.97,3236906
2020-05-22,428.14,430.95,425.23,427.3,1825249
2020-05-25,433.79,435.02,431.11,433.31,2889539
2020-05-26,449.19,450.51,444.14,444.76,2545791
2020-05-27,446.64,450.56,445.16,448.32,4642640
2020-05-28,463.26,465.09,457.18,460.95,7548617
2020-05-29,469.17,470.45,466.04,468.61,2548566
2020-06-01,470.21,472.8,467.16,471.29,4761166
2020-06-02,473.76,474.39,473.44,473.45,2387876
2020-06-03,465.15,466.54,461.19,464.04,2246776
2020-06-04,457.15,459.32,456.25,456.83,3164751
2020-06-05,443.92,447.72,441.82,445.72,2962147
2020-06-08,453.01,455.74,450.63,454.82,10725864
2020-06-09,457.26,463.34,454.31,457.76,3362423
2020-06-10,461.32,464.49,453.73,462.81,3238207
2020-06-11,472.35,475.77,466.26,469.93,3022387
2020-06-12,475.76,478.93,464.53,468.54,3444805
2020-06-15,470.9,472.67,464.93,468.36,1081352
2020-06-16,467.34,470.9,462.35,465.79,2682077
2020-06-17,468.2,469.77,466.68,468.07,3342746
2020-06-18,464.03,466.28,463.02,465.98,5192165
2020-06-19,468.29,469.54,463.86,468.6,1113098
2020-06-22,465.08,465.95,463.98,464.7,1465176
2020-06-23,458.78,465.93,456.37,462.65,1972960
2020-06-24,465.75,467.6,462.86,464.96,8168507
2020-06-25,468.57,471.24,466.94,467.56,4233946
2020-06-26,465.85,468.56,462.3,466.23,3726967
2020-06-29,453.97,458.11,451.92,456.94,2650052
2020-06-30,464.29,465.42,460.01,464.62,2317649
2020-07-01,455.1,456.61,452.54,456.49,3066719
2020-07-02,454.51,458.19,447.55,454.5,1793926
2020-07-03,450.24,452.59,448.12,450.76,1562688
2020-07-06,448.03,451.43,443.07,447.05,5434934
2020-07-07,453.95,455.77,447.78,450.14,2689901
2020-07-08,458.64,459.68,454.49,455.89,4656600
2020-07-09,451.86,457.89,449.19,453.88,3424301
2020-07-10,445.18,451.62,443.22,449.22,1704568
2020-07-13,448.23,448.61,447.51,447.9,2533460
2020-07-14,447.42,448.63,444.55,448.18,1263352
2020-07-15,451.11,453.78,449.24,453.01,6588628
2020-07-16,446.31,446.68,444.91,446.29,2537795
2020-07-17,442.43,446.51,434.07,441.1,6672609
2020-07-20,435.02,435.96,431.47,431.7,4682306
2020-07-21,429.86,432.16,426.23,430.81,4404589
2020-07-22,419.53,427.42,416.29,422.53,2440497
2020-07-23,426.56,427.78,424.55,426.14,5230066
2020-07-24,433.03,435.15,427.07,433.42,4046745
2020-07-27,435.45,438.31,434.66,435.15,4547119
2020-07-28,440.69,442.88,439.27,440.2,1885848
2020-07-29,428.16,428.98,425.66,427.5,7457659
2020-07-30,436.52,439.11,428.82,429.96,2446664
2020-07-31,432.4,435.57,430.75,432.16,3179345
