date,open,high,low,close,volume
2020-04-24,710.75,720.54,705.36,720.0,8144712
2020-04-27,750.23,761.03,733.9,747.93,5962045
2020-04-28,737.23,737.59,736.83,737.34,4434392
2020-04-29,706.63,724.16,690.57,695.46,5864107
2020-04-30,678.4,693.23,670.66,674.11,8221801
2020-05-01,642.68,652.79,631.65,639.14,7289018
2020-05-04,586.21,590.18,581.22,581.62,3829518
2020-05-05,621.09,623.44,617.53,622.86,3993985
2020-05-06,635.41,639.4,632.81,638.45,15302440
2020-05-07,641.38,642.0,639.0,641.21,6829300
2020-05-08,683.29,687.63,677.63,686.72,10291781
2020-05-11,729.31,731.02,727.31,729.35,7008992
2020-05-12,762.06,774.21,747.83,758.04,3372138
2020-05-13,784.58,788.15,772.95,782.46,3219882
2020-05-14,853.28,865.62,837.58,847.31,4704964
2020-05-15,817.4,838.98,803.54,808.85,5844955
2020-05-18,811.78,812.46,811.54,811.92,2690411
2020-05-19,819.0,820.33,816.75,819.8,3800300
2020-05-20,822.36,823.86,821.84,822.34,6255621
2020-05-21,789.95,805.83,784.14,794.03,3348857
2020-05-22,788.18,792.6,780.8,782.59,7633323
2020-05-25,716.68,731.14,712.61,723.47,5704347
2020-05-26,702.09,707.55,700.62,706.79,4273769
2020-05-27,712.01,713.23,709.8,711.35,6989301
2020-05-28,698.91,708.66,683.68,688.87,3747522
2020-05-29,687.97,688.29,687.33,687.58,3144757
2020-06-01,666.79,670.12,664.57,668.61,8384138
2020-06-02,715.58,721.35,705.85,710.08,3805898
2020-06-03,738.37,748.1,734.97,737.41,7705532
2020-06-04,697.34,699.17,694.03,694.7,8326869
2020-06-05,717.62,719.68,715.76,716.5,10326061
2020-06-08,713.06,713.3,712.84,712.89,5573331
2020-06-09,739.74,751.49,719.85,738.13,2534306
2020-06-10,745.28,747.83,740.93,744.42,8733416
2020-06-11,729.58,732.12,727.18,728.29,3571583
2020-06-12,706.25,715.16,703.77,712.17,5566272
2020-06-15,714.85,717.48,709.27,717.14,8950225
2020-06-16,726.33,738.08,720.2,731.38,15745394
2020-06-17,742.3,744.9,733.66,744.84,4786061
2020-06-18,750.25,754.82,747.37,750.28,3851730
2020-06-19,742.16,743.95,741.65,743.62,13168072
2020-06-22,760.56,764.32,757.0,758.27,2699241
2020-06-23,744.94,746.79,742.43,743.2,3616344
2020-06-24,730.92,732.94,727.85,728.2,3970252
2020-06-25,748.58,751.66,745.6,748.03,10040331
2020-06-26,728.15,733.86,724.38,724.96,4287415
2020-06-29,670.71,678.69,640.62,666.97,6717313
2020-06-30,720.99,732.65,706.46,712.46,13535771
2020-07-01,759.06,784.99,743.26,747.17,9283942
2020-07-02,840.03,856.26,798.56,820.76,6732696
2020-07-03,763.31,765.16,761.05,764.64,3441648
2020-07-06,761.54,762.38,760.36,762.22,3429138
2020-07-07,690.61,741.45,652.42,723.72,3497459
2020-07-08,623.76,635.92,615.53,620.18,3368290
2020-07-09,678.61,684.19,666.94,675.93,10411843
2020-07-10,670.96,671.96,670.34,671.69,4401938
2020-07-13,644.7,651.41,638.91,640.93,5096625
2020-07-14,672.81,676.24,662.95,665.31,8473357
2020-07-15,664.6,665.03,663.7,664.83,2026680
2020-07-16,697.51,699.73,695.62,698.31,2623162
2020-07-17,673.54,676.3,667.79,673.42,8807867
2020-07-20,657.44,661.66,646.57,660.01,3350078
2020-07-21,669.45,673.26,667.95,671.21,3758601
2020-07-22,691.49,694.92,689.28,694.05,3264834
2020-07-23,695.58,695.98,694.86,695.35,3105522
2020-07-24,715.13,729.39,707.98,717.03,4104534
2020-07-27,697.99,701.52,696.92,698.0,2629061
2020-07-28,680.32,682.19,677.44,679.61,1273626
2020-07-29,677.67,679.0,677.14,678.11,10027566
2020-07-30,657.38,659.66,653.55,657.04,3391597
2020-07-31,659.03,659.69,657.08,658.72,7353658
2020-08-03,642.04,651.02,638.93,648.54,5964034
2020-08-04,647.43,647.54,647.09,647.23,5236775
2020-08-05,645.39,646.31,642.31,644.98,6520289
2020-08-06,630.75,633.05,628.6,630.63,4905715
2020-08-07,626.4,630.74,621.29,625.55,3214888
2020-08-10,634.47,634.94,634.28,634.34,3678822
2020-08-11,627.07,628.13,625.04,627.69,7048965
2020-08-12,616.67,621.46,613.1,614.31,2536804
2020-08-13,629.25,636.36,626.02,630.53,1034217
2020-08-14,619.85,622.23,616.04,619.46,18695786
2020-08-17,629.0,631.71,628.29,630.81,3146974
2020-08-18,623.3,624.2,622.27,622.5,9859157
2020-08-19,626.17,626.34,625.99,626.06,4440088
2020-08-20,611.7,612.46,609.92,611.6,3023688
2020-08-21,595.69,597.79,592.97,596.07,2291053
2020-08-24,595.36,595.52,595.08,595.24,4302951
2020-08-25,589.8,591.34,587.38,591.23,6276334
2020-08-26,575.32,575.88,574.32,574.37,3100152
2020-08-27,599.46,603.12,597.49,597.65,5558835
2020-08-28,673.21,686.29,641.32,662.39,14739008
2020-08-31,631.02,657.92,622.69,623.81,6560837
2020-09-01,646.7,649.76,644.04,644.19,6215060
2020-09-02,647.08,649.45,645.6,649.06,4027228
2020-09-03,614.8,651.84,603.24,612.18,5583275
2020-09-04,577.61,583.23,569.9,575.58,7567367
2020-09-07,570.23,571.01,569.83,570.24,3256082
2020-09-08,584.84,586.62,582.59,585.47,4190303
2020-09-09,577.53,579.88,576.48,578.72,7079181
2020-09-10,580.09,580.86,579.57,580.13,3491687
2020-09-11,606.76,612.72,602.24,608.74,2965789
2020-09-14,607.99,608.12,607.95,608.1,5136769
2020-09-15,630.26,633.4,618.84,619.5,3555039
2020-09-16,610.19,610.59,610.02,610.31,6602577
2020-09-17,607.8,608.61,606.57,607.3,2169081
2020-09-18,603.62,603.97,603.3,603.71,3673435
2020-09-21,605.98,606.84,603.96,605.65,3002938
2020-09-22,607.04,607.14,606.79,607.03,3616965
2020-09-23,620.38,624.05,618.61,619.18,3643390
2020-09-24,597.28,602.09,594.34,601.07,1969444
2020-09-25,586.92,594.14,574.38,581.2,2494977
2020-09-28,586.48,586.74,585.95,586.56,5711059
2020-09-29,611.2,627.33,603.89,614.29,4770435
2020-09-30,607.23,620.89,598.71,600.44,1606260
2020-10-01,560.56,568.05,547.51,555.49,2824377
2020-10-02,564.19,565.46,560.51,564.8,5799624
2020-10-05,589.14,591.39,584.26,589.49,1411824
2020-10-06,621.28,633.44,594.83,606.59,8241996
2020-10-07,578.29,590.76,567.26,588.74,7679030
2020-10-08,590.53,590.84,590.39,590.45,2424641
2020-10-09,595.43,598.4,592.19,593.57,1963465
2020-10-12,608.2,610.28,604.38,605.39,3499927
2020-10-13,631.75,633.0,630.0,630.29,1581733
2020-10-14,639.23,641.85,635.49,640.31,8217448
2020-10-15,651.13,652.29,648.13,650.45,4120420
2020-10-16,650.99,651.19,650.77,650.77,4074895
2020-10-19,650.27,650.57,649.83,650.11,3834534
2020-10-20,642.67,643.1,641.73,641.89,4324319
2020-10-21,648.31,649.45,646.98,648.19,8785435
2020-10-22,638.35,640.27,634.65,636.54,4645680
2020-10-23,634.1,635.88,633.58,634.42,2595279
