date,open,high,low,close,volume
2020-04-24,6753.18,6829.78,6704.9,6800.0,2125760
2020-04-27,6686.63,6729.42,6648.94,6671.6,3544988
2020-04-28,6814.9,6948.87,6769.44,6782.65,2792021
2020-04-29,7093.84,7108.98,7039.61,7089.28,5723319
2020-04-30,6845.86,6873.86,6827.2,6852.84,3250495
2020-05-01,6800.01,6918.99,6750.63,6895.34,5879593
2020-05-04,6929.03,6997.91,6903.24,6955.71,7829913
2020-05-05,6924.93,7050.89,6871.37,6998.41,2150587
2020-05-06,7105.28,7168.12,6857.06,7000.86,3013389
2020-05-07,7352.02,7402.71,7283.74,7314.06,2637240
2020-05-08,7542.98,7677.02,7475.16,7561.95,6098207
2020-05-11,7580.56,7623.88,7497.25,7519.19,2046119
2020-05-12,7507.21,7559.18,7361.07,7443.42,2174282
2020-05-13,7572.05,7597.77,7480.93,7550.08,4460933
2020-05-14,7449.75,7486.09,7328.28,7374.22,2460310
2020-05-15,7118.76,7203.62,7021.47,7181.82,1678880
2020-05-18,7396.36,7472.82,7156.53,7370.62,4358893
2020-05-19,7517.1,7588.83,7493.63,7559.12,943703
2020-05-20,7639.5,7687.86,7516.78,7589.38,2727279
2020-05-21,7725.08,7737.96,7673.59,7702.37,2315586
2020-05-22,7493.35,7580.33,7467.02,7522.68,3371838
2020-05-25,7206.63,7347.59,7088.06,7201.48,2221783
2020-05-26,7257.8,7308.31,7080.97,7166.14,6234743
2020-05-27,7173.85,7279.87,7015.45,7235.33,3158663
2020-05-28,7083.01,7168.86,6897.79,7158.58,3899750
2020-05-29,7101.9,7154.02,7081.37,7125.41,1740282
2020-06-01,7138.11,7219.89,7098.53,7188.88,3146474
2020-06-02,7088.29,7223.11,6993.42,7157.14,1885512
2020-06-03,7202.69,7234.99,7183.91,7231.43,4552616
2020-06-04,7414.42,7430.06,7363.44,7414.37,5681262
2020-06-05,7243.01,7268.77,7203.12,7235.32,4626865
2020-06-08,7529.34,7541.3,7505.73,7525.96,2508261
2020-06-09,7286.2,7342.01,7184.86,7207.74,4066489
2020-06-10,7315.54,7515.07,7233.36,7428.39,2782561
2020-06-11,6898.01,7078.09,6834.99,7045.63,3678409
2020-06-12,7024.82,7051.5,6950.96,6996.49,2134344
2020-06-15,7156.12,7238.98,7125.74,7221.15,7232542
2020-06-16,7322.24,7380.33,7157.68,7255.3,10493903
2020-06-17,7161.39,7423.99,7090.8,7237.64,2520827
2020-06-18,7184.43,7298.57,7129.15,7244.89,6734101
2020-06-19,7441.3,7496.05,7372.85,7478.53,7305462
2020-06-22,7533.97,7623.68,7427.58,7594.67,2807965
2020-06-23,7539.02,7563.24,7500.98,7558.36,2218565
2020-06-24,7443.18,7563.95,7362.51,7494.93,3640608
2020-06-25,7569.49,7745.71,7519.04,7703.1,5755437
2020-06-26,7748.51,7847.54,7652.93,7781.07,3841442
2020-06-29,7850.09,7953.46,7741.84,7905.78,2246026
2020-06-30,7618.94,7756.89,7583.24,7622.09,4354664
2020-07-01,7954.11,8035.3,7688.76,7948.57,2321845
2020-07-02,7999.09,8020.02,7964.64,7985.24,7150367
2020-07-03,8234.55,8252.29,8181.37,8244.88,1848104
2020-07-06,8694.02,8787.71,8536.54,8585.05,2529005
2020-07-07,8636.99,8732.31,8465.46,8607.74,2452359
2020-07-08,8656.73,8692.17,8644.11,8688.78,4326770
2020-07-09,8944.37,8987.46,8842.89,8940.76,2962657
2020-07-10,8984.17,9294.11,8839.3,9106.19,939336
2020-07-13,9282.58,9386.62,9214.42,9234.54,2038613
2020-07-14,9218.85,9343.69,9100.85,9305.67,4545128
2020-07-15,9206.18,9290.57,9131.89,9269.53,2646072
2020-07-16,9303.57,9320.25,9272.13,9277.51,6108123
2020-07-17,9320.74,9418.91,9184.36,9348.32,3872460
2020-07-20,9726.74,9788.75,9591.79,9659.72,2575525
2020-07-21,9837.66,9877.62,9814.53,9862.76,3286178
2020-07-22,9697.68,9783.97,9444.37,9665.78,5387852
2020-07-23,9686.66,9736.26,9635.16,9720.46,2763504
2020-07-24,9555.21,9631.32,9456.81,9600.2,2537185
2020-07-27,9499.72,9586.36,9475.16,9535.87,7792505
2020-07-28,9167.07,9195.01,9145.72,9174.9,2057029
2020-07-29,9389.54,9449.34,9220.51,9334.31,4172739
2020-07-30,9273.0,9356.35,9201.89,9342.99,2282760
2020-07-31,9597.94,9662.64,9445.13,9559.48,2042709
2020-08-03,9615.82,9790.05,9512.81,9594.82,7030945
2020-08-04,9649.77,9801.18,9545.93,9571.43,3696724
2020-08-05,10079.53,10196.03,9944.08,10072.07,4209041
2020-08-06,9823.74,9885.67,9699.63,9716.4,3540736
2020-08-07,9336.34,9496.93,9212.56,9426.27,3396110
2020-08-10,9713.94,9863.27,9566.81,9645.74,4255155
2020-08-11,9794.67,9848.68,9771.23,9789.9,4620337
2020-08-12,9470.24,9526.0,9445.91,9453.08,5069376
2020-08-13,9111.56,9237.65,9063.77,9127.44,6657082
2020-08-14,9020.98,9070.92,8907.08,8988.23,1292867
2020-08-17,9278.08,9333.52,9225.45,9253.57,3629960
2020-08-18,9279.9,9329.25,9254.38,9299.18,2978155
2020-08-19,9500.31,9600.21,9450.47,9560.74,4267922
2020-08-20,9468.28,9601.44,9249.41,9537.01,2281661
2020-08-21,9701.29,9773.96,9669.26,9709.12,6267432
2020-08-24,9329.9,9371.58,9279.11,9333.0,7996981
2020-08-25,9174.63,9268.35,9091.92,9176.22,2975638
2020-08-26,8636.42,8816.48,8552.41,8768.78,2326864
2020-08-27,8942.01,8959.67,8875.77,8939.13,2165226
2020-08-28,9055.89,9104.54,8931.22,8994.61,7290361
2020-08-31,8616.64,8811.34,8481.94,8582.29,2931600
2020-09-01,8327.69,8348.98,8277.26,8336.8,5300075
2020-09-02,8215.16,8363.46,8110.82,8272.45,2794476
2020-09-03,8499.2,8559.87,8373.67,8432.59,4251869
2020-09-04,8680.16,8740.47,8523.11,8712.45,4923523
2020-09-07,8860.62,8925.25,8662.49,8810.31,4174282
