date,open,high,low,close,volume
2020-04-24,802.89,811.74,798.59,800.0,4428593
2020-04-27,803.92,808.05,799.17,799.97,2630171
2020-04-28,788.84,792.29,780.1,791.95,6120156
2020-04-29,779.38,789.0,769.26,772.85,4923911
2020-04-30,789.36,799.06,776.86,792.02,4148454
2020-05-01,784.26,792.88,773.53,786.01,6067364
2020-05-04,777.84,785.25,770.54,776.03,7527086
2020-05-05,790.28,793.02,789.46,790.67,2982648
2020-05-06,773.53,776.92,768.66,773.99,3017785
2020-05-07,754.83,759.99,748.09,757.08,2451135
2020-05-08,760.49,762.27,757.57,759.08,3252366
2020-05-11,771.51,780.29,764.7,770.68,5675945
2020-05-12,779.4,782.5,778.45,780.25,3546042
2020-05-13,776.29,783.39,773.27,776.2,4057151
2020-05-14,751.01,768.88,745.14,763.51,1745789
2020-05-15,783.66,796.54,772.99,784.95,1965115
2020-05-18,830.83,844.0,826.59,830.87,2649527
2020-05-19,844.07,853.22,837.42,845.36,7376105
2020-05-20,854.71,863.77,840.1,847.56,4025747
2020-05-21,856.94,871.06,849.41,858.76,3829107
2020-05-22,842.5,855.91,838.52,853.44,2286244
2020-05-25,862.9,870.15,846.72,856.01,1702505
2020-05-26,850.38,853.98,848.48,850.45,7108568
2020-05-27,843.1,856.63,839.56,848.54,3251596
2020-05-28,850.48,853.76,845.94,850.98,2850104
2020-05-29,845.43,856.68,833.19,855.54,4117938
2020-06-01,860.08,867.24,844.51,851.87,2941392
2020-06-02,873.09,877.76,868.91,877.46,3418780
2020-06-03,898.21,904.93,875.61,875.65,5053566
2020-06-04,880.62,889.56,875.71,886.43,5459760
2020-06-05,897.96,904.6,892.26,903.54,8744067
2020-06-08,921.29,930.66,917.43,924.8,2704029
2020-06-09,906.1,910.38,900.31,903.95,3059965
2020-06-10,914.55,922.49,911.86,911.91,7699516
2020-06-11,926.46,928.5,918.35,924.13,5586227
2020-06-12,928.44,943.05,918.92,930.31,2530723
2020-06-15,936.36,948.44,924.85,925.8,7056907
2020-06-16,945.93,949.01,943.63,948.14,9048388
2020-06-17,937.16,939.05,934.27,938.59,3147322
2020-06-18,949.72,959.21,944.89,945.07,3878127
2020-06-19,940.97,951.02,937.47,942.32,4660318
2020-06-22,949.5,956.32,934.52,954.77,3168427
2020-06-23,973.53,978.42,964.25,969.27,2067644
2020-06-24,935.5,946.18,930.99,945.22,2512964
2020-06-25,919.61,929.13,914.48,919.25,3922660
2020-06-26,915.82,920.43,914.58,916.28,3608867
2020-06-29,912.66,916.94,900.8,911.16,4746478
2020-06-30,921.72,926.1,912.89,917.49,2508513
2020-07-01,924.02,934.69,919.85,928.68,2226112
2020-07-02,914.07,922.09,903.69,910.87,2747294
