date,open,high,low,close,volume
2020-04-24,1097.89,1102.11,1094.24,1100.0,5580485
2020-04-27,1092.97,1094.88,1088.6,1093.16,2537534
2020-04-28,1084.33,1086.19,1082.62,1086.04,4487654
2020-04-29,1068.96,1070.1,1067.84,1069.18,2434391
2020-04-30,1062.61,1064.17,1060.8,1060.86,4275249
2020-05-01,1051.89,1063.89,1042.45,1046.13,3646640
2020-05-04,1060.42,1063.73,1054.49,1059.27,5070033
2020-05-05,1046.81,1051.2,1039.48,1043.79,2431819
2020-05-06,1034.87,1035.85,1031.39,1035.76,3809995
2020-05-07,1033.75,1034.2,1032.46,1033.5,3863657
2020-05-08,1046.78,1050.75,1042.02,1042.63,4984676
2020-05-11,1044.28,1044.75,1043.7,1043.8,5521664
2020-05-12,1034.2,1035.86,1033.64,1034.2,4354280
2020-05-13,1033.99,1034.11,1033.53,1033.66,1603552
2020-05-14,1031.8,1033.57,1030.6,1032.51,4196842
2020-05-15,1029.81,1029.88,1029.73,1029.78,2216680
2020-05-18,1051.48,1054.55,1040.86,1052.52,5305149
2020-05-19,1053.7,1054.18,1053.3,1054.1,2493804
2020-05-20,1060.54,1060.7,1060.41,1060.5,4356538
2020-05-21,1061.65,1062.43,1061.37,1061.69,6566755
2020-05-22,1070.67,1071.07,1070.46,1070.82,2740594
2020-05-25,1056.9,1064.02,1053.86,1062.85,6150376
2020-05-26,1062.78,1063.8,1061.26,1061.72,1723215
2020-05-27,1064.35,1064.86,1063.89,1064.25,2197565
2020-05-28,1060.23,1061.23,1059.2,1059.98,3771696
2020-05-29,1057.64,1059.78,1056.73,1058.77,3881174
2020-06-01,1054.58,1056.75,1053.55,1054.23,1616546
2020-06-02,1050.09,1050.72,1049.69,1050.05,4487068
2020-06-03,1055.42,1057.41,1054.18,1056.02,1597154
2020-06-04,1062.93,1065.51,1062.11,1062.39,1243199
2020-06-05,1055.88,1058.75,1051.87,1053.13,4475160
2020-06-08,1052.45,1052.52,1052.28,1052.38,3421651
2020-06-09,1039.85,1044.26,1031.4,1042.64,2076797
2020-06-10,1031.02,1039.51,1027.65,1034.96,1901447
2020-06-11,1036.36,1036.85,1036.05,1036.34,3321149
2020-06-12,1049.53,1049.81,1049.37,1049.46,5056576
2020-06-15,1049.97,1050.6,1047.49,1048.41,2920701
2020-06-16,1056.34,1060.15,1054.09,1057.2,4566012
2020-06-17,1060.58,1061.42,1057.91,1058.92,3858506
2020-06-18,1064.14,1066.28,1059.11,1066.19,4484995
2020-06-19,1050.84,1074.17,1044.91,1055.04,4414534
2020-06-22,1052.78,1053.99,1052.31,1053.66,1517863
2020-06-23,1054.97,1055.99,1054.71,1055.75,3368421
2020-06-24,1047.07,1049.28,1046.15,1049.24,2378673
2020-06-25,1039.02,1045.85,1032.78,1039.19,3663981
2020-06-26,1046.19,1051.08,1044.19,1046.33,4053592
2020-06-29,1045.62,1045.92,1044.92,1045.18,2926424
2020-06-30,1049.54,1051.87,1042.58,1051.19,4377774
2020-07-01,1040.8,1044.3,1039.86,1042.68,3373358
2020-07-02,1029.3,1035.89,1026.79,1034.24,4575999
2020-07-03,1039.35,1040.02,1038.7,1039.51,2891976
2020-07-06,1044.07,1045.47,1041.7,1043.13,7420145
2020-07-07,1032.81,1036.9,1030.72,1032.36,2148082
2020-07-08,1057.32,1060.39,1050.83,1051.31,4712271
2020-07-09,1037.92,1039.75,1033.19,1033.93,2113621
2020-07-10,1044.45,1046.07,1043.13,1045.21,2315633
2020-07-13,1058.68,1062.69,1054.47,1062.17,2794781
2020-07-14,1069.93,1071.63,1069.34,1071.35,11053401
2020-07-15,1091.98,1099.36,1089.74,1093.46,6932459
2020-07-16,1100.68,1101.92,1096.54,1100.86,2925121
2020-07-17,1109.32,1125.61,1102.36,1108.78,6386848
2020-07-20,1105.52,1106.76,1105.11,1105.99,1178082
2020-07-21,1117.34,1122.01,1113.47,1116.88,6216833
2020-07-22,1120.56,1121.8,1119.77,1120.16,4473786
2020-07-23,1121.99,1122.22,1121.37,1121.9,2783812
