date,open,high,low,close,volume
2020-04-24,1607.59,1613.2,1592.83,1600.0,1841704
2020-04-27,1636.38,1661.11,1622.49,1633.96,5745361
2020-04-28,1661.01,1668.19,1651.89,1666.8,2616521
2020-04-29,1633.55,1643.01,1618.93,1625.64,6497111
2020-04-30,1588.6,1602.17,1569.82,1588.92,2983346
2020-05-01,1540.65,1568.59,1531.6,1547.0,5974350
2020-05-04,1597.59,1601.44,1583.08,1593.39,2011804
2020-05-05,1600.17,1617.97,1581.56,1596.02,7708775
2020-05-06,1592.17,1602.08,1581.95,1595.14,2999303
2020-05-07,1606.81,1613.75,1604.11,1609.6,5298283
2020-05-08,1582.44,1588.9,1570.68,1585.79,2588564
2020-05-11,1573.25,1593.97,1546.87,1581.73,11343110
2020-05-12,1547.65,1559.75,1539.16,1552.95,5509955
2020-05-13,1573.6,1576.09,1564.81,1568.25,5183405
2020-05-14,1540.38,1546.91,1536.67,1545.35,2977542
2020-05-15,1553.04,1560.64,1544.69,1554.58,2730419
2020-05-18,1573.62,1587.2,1568.3,1581.19,2687960
2020-05-19,1585.92,1590.49,1575.09,1578.71,2796829
2020-05-20,1593.22,1601.49,1582.16,1599.81,1575407
2020-05-21,1567.4,1579.44,1536.5,1570.04,3167106
2020-05-22,1541.73,1545.16,1536.21,1541.3,4347774
2020-05-25,1533.25,1553.72,1521.92,1547.07,2838410
2020-05-26,1551.29,1574.31,1527.72,1542.31,3341709
2020-05-27,1495.33,1512.78,1487.03,1508.82,3989248
2020-05-28,1498.05,1513.04,1459.03,1497.79,4543449
2020-05-29,1527.48,1532.45,1511.45,1526.83,2896349
2020-06-01,1506.75,1528.18,1492.94,1510.36,1238446
2020-06-02,1511.34,1515.78,1497.93,1511.37,1328809
2020-06-03,1503.47,1508.75,1490.4,1502.5,2975604
2020-06-04,1516.02,1521.06,1498.27,1507.49,3857155
2020-06-05,1511.68,1522.89,1488.54,1516.22,3692028
2020-06-08,1526.11,1539.36,1519.54,1530.82,7001055
2020-06-09,1534.02,1554.66,1525.22,1543.84,2198337
2020-06-10,1569.57,1576.93,1563.08,1564.46,4239394
2020-06-11,1585.38,1589.87,1573.79,1575.43,5046973
2020-06-12,1582.78,1588.55,1578.52,1580.72,2410287
2020-06-15,1565.92,1577.9,1548.37,1568.4,3127742
2020-06-16,1488.18,1499.83,1485.17,1494.69,4328589
2020-06-17,1486.05,1486.48,1485.2,1485.83,6283287
2020-06-18,1467.59,1469.74,1466.8,1467.73,3862460
2020-06-19,1455.62,1458.18,1448.73,1451.96,1912151
2020-06-22,1405.03,1415.63,1393.29,1413.16,5453899
2020-06-23,1434.41,1440.77,1429.65,1430.36,3609929
2020-06-24,1391.28,1394.91,1385.22,1389.36,4441065
2020-06-25,1402.02,1416.65,1384.22,1398.93,5203787
2020-06-26,1396.04,1401.68,1385.05,1394.13,8809935
2020-06-29,1399.34,1417.26,1387.62,1404.04,2101868
2020-06-30,1424.9,1432.41,1419.57,1423.8,5434056
2020-07-01,1468.51,1476.19,1439.82,1469.96,3197519
2020-07-02,1519.72,1536.69,1478.49,1502.47,4170108
2020-07-03,1520.69,1528.85,1518.43,1528.15,4127239
2020-07-06,1568.54,1575.65,1553.6,1563.76,1999138
2020-07-07,1561.47,1567.53,1548.09,1565.39,2213366
2020-07-08,1563.85,1577.22,1557.74,1568.04,6118956
2020-07-09,1563.26,1568.29,1552.34,1556.65,3126919
2020-07-10,1561.39,1573.23,1557.63,1564.47,3065704
2020-07-13,1589.04,1597.44,1585.84,1592.56,2087032
2020-07-14,1591.12,1601.04,1582.13,1592.52,963511
2020-07-15,1595.07,1609.07,1570.06,1592.93,2607883
2020-07-16,1597.18,1611.88,1543.26,1577.42,7989288
2020-07-17,1628.44,1646.35,1600.82,1617.98,4127504
2020-07-20,1637.79,1642.85,1617.85,1618.9,2764800
2020-07-21,1641.71,1652.8,1628.48,1633.72,6569863
2020-07-22,1626.16,1629.67,1623.05,1629.06,5194165
