date,open,high,low,close,volume
2020-04-24,1504.38,1516.5,1486.88,1500.0,2334085
2020-04-27,1507.36,1511.72,1502.68,1507.04,1995962
2020-04-28,1491.94,1498.15,1489.85,1497.95,5907728
2020-04-29,1502.84,1516.5,1470.45,1493.58,2703806
2020-04-30,1469.77,1480.32,1459.79,1463.41,4287018
2020-05-01,1401.01,1422.69,1386.01,1403.06,3803632
2020-05-04,1395.62,1416.38,1380.81,1410.33,2665001
2020-05-05,1395.44,1406.12,1377.29,1390.89,3376477
2020-05-06,1407.91,1414.55,1400.38,1400.48,9296032
2020-05-07,1434.98,1443.38,1420.91,1422.7,4561533
2020-05-08,1417.05,1434.98,1408.85,1422.93,9102281
2020-05-11,1428.67,1456.79,1419.16,1429.6,1641402
2020-05-12,1396.75,1405.35,1394.02,1396.1,4315441
2020-05-13,1430.71,1437.35,1407.4,1415.15,3083782
2020-05-14,1381.47,1388.35,1361.99,1375.73,1774554
2020-05-15,1354.88,1386.93,1343.16,1365.2,1248489
2020-05-18,1341.17,1346.21,1326.4,1343.4,3053338
2020-05-19,1338.35,1354.57,1326.57,1344.52,4815572
2020-05-20,1357.34,1365.71,1337.94,1342.41,3026849
2020-05-21,1314.47,1326.23,1302.23,1309.38,3178181
2020-05-22,1307.39,1322.61,1287.25,1296.97,7012469
2020-05-25,1270.81,1284.64,1263.86,1268.24,3641856
2020-05-26,1242.83,1257.29,1232.87,1255.79,4001271
2020-05-27,1260.76,1265.52,1256.0,1263.19,3299751
2020-05-28,1240.67,1247.66,1218.42,1232.21,1557140
2020-05-29,1259.27,1272.78,1252.62,1266.92,4557831
2020-06-01,1259.47,1276.75,1248.54,1257.13,5720575
2020-06-02,1253.29,1280.24,1236.97,1271.6,5604440
2020-06-03,1315.24,1320.53,1312.28,1319.85,3945019
2020-06-04,1288.66,1295.92,1271.98,1285.11,5491537
2020-06-05,1286.35,1291.26,1272.36,1275.7,7038210
2020-06-08,1272.33,1276.79,1257.73,1269.95,5796547
2020-06-09,1252.42,1266.03,1242.16,1251.25,1638128
