date,open,high,low,close,volume
2020-04-24,220.05,221.91,218.92,220.0,2901562
2020-04-27,216.08,216.93,215.77,216.28,1934142
2020-04-28,217.51,217.59,217.43,217.58,3216105
2020-04-29,218.35,218.72,217.84,218.12,3734564
2020-04-30,218.24,218.26,218.24,218.26,4675915
2020-05-01,218.21,218.28,218.16,218.28,2432707
2020-05-04,215.93,217.05,215.29,216.04,2902557
2020-05-05,218.68,220.18,218.29,218.36,6669633
2020-05-06,217.1,217.33,216.5,217.32,3511538
2020-05-07,216.82,216.95,216.6,216.74,1182191
2020-05-08,215.99,216.06,215.92,215.95,2297966
2020-05-11,214.37,214.54,213.8,213.98,2788782
2020-05-12,213.37,213.39,213.35,213.36,1897362
2020-05-13,210.33,211.63,209.96,211.16,1568640
2020-05-14,209.74,209.8,209.61,209.67,6523509
2020-05-15,210.42,210.76,210.15,210.32,3143246
2020-05-18,209.71,209.9,209.51,209.8,6481072
2020-05-19,209.46,209.49,209.38,209.48,2645215
2020-05-20,208.72,208.82,208.61,208.71,2641788
2020-05-21,209.54,209.66,209.34,209.53,2932678
2020-05-22,210.85,210.97,210.74,210.77,7903829
2020-05-25,210.75,210.91,210.56,210.82,5495694
2020-05-26,211.72,212.41,211.41,211.93,1979872
2020-05-27,210.16,210.76,208.35,209.02,5086846
2020-05-28,209.85,209.92,209.78,209.83,3302164
2020-05-29,210.33,210.54,210.1,210.1,2806006
2020-06-01,209.41,209.58,209.07,209.31,4665622
2020-06-02,210.89,211.08,210.67,210.97,2995467
2020-06-03,211.53,212.37,211.21,212.25,5518076
2020-06-04,211.59,211.9,211.43,211.67,4131693
2020-06-05,211.25,211.25,211.24,211.25,3061298
2020-06-08,211.73,211.96,211.64,211.84,3273887
2020-06-09,211.22,211.26,211.16,211.24,2717341
2020-06-10,210.36,210.41,210.21,210.34,6675921
2020-06-11,207.71,208.47,205.56,207.7,2162682
2020-06-12,209.47,209.97,208.65,209.08,2402749
2020-06-15,207.74,208.04,207.11,207.9,2457486
2020-06-16,207.42,208.23,206.52,207.11,750473
2020-06-17,207.56,207.75,207.45,207.7,3070944
2020-06-18,207.21,207.33,206.88,207.32,3754048
2020-06-19,208.8,209.07,208.41,208.85,1496459
2020-06-22,208.49,208.87,208.32,208.69,2626589
2020-06-23,206.46,207.34,205.74,205.77,2135987
2020-06-24,207.41,207.73,206.7,207.27,2502184
2020-06-25,207.08,207.75,206.92,207.68,1014208
2020-06-26,207.71,207.77,207.65,207.65,1841301
2020-06-29,208.18,208.31,207.96,208.1,2340508
2020-06-30,207.4,207.97,207.25,207.76,3945942
2020-07-01,209.3,210.12,209.0,209.12,4581062
2020-07-02,210.33,210.54,210.02,210.17,6699556
2020-07-03,210.84,210.92,210.8,210.82,2990964
2020-07-06,211.58,211.68,211.53,211.61,10225033
2020-07-07,208.42,209.95,207.58,209.19,3682606
2020-07-08,209.82,209.93,209.78,209.88,4418786
2020-07-09,206.14,206.15,206.1,206.14,2514958
2020-07-10,206.68,206.74,206.64,206.74,5400329
2020-07-13,208.69,209.3,207.64,208.91,1534047
2020-07-14,212.58,212.8,211.81,212.17,5531439
2020-07-15,211.99,212.08,211.84,212.06,2326015
2020-07-16,211.88,212.05,211.52,211.74,1826555
2020-07-17,209.46,209.62,209.27,209.6,5037505
2020-07-20,212.55,212.73,212.18,212.2,5982225
2020-07-21,209.58,209.67,209.35,209.5,2893650
2020-07-22,208.55,208.67,208.44,208.56,2819588
2020-07-23,207.97,208.2,207.82,208.06,1416218
2020-07-24,206.72,207.71,206.03,206.84,6260569
2020-07-27,207.52,207.69,207.13,207.42,1330115
2020-07-28,208.05,208.19,207.88,207.96,2384037
2020-07-29,208.15,208.19,208.06,208.18,1457357
2020-07-30,210.15,210.51,209.91,210.32,1170539
2020-07-31,211.54,211.71,211.28,211.39,3233072
2020-08-03,210.6,210.83,210.45,210.6,3776577
2020-08-04,209.25,209.86,208.99,209.46,4724670
2020-08-05,212.7,213.22,212.27,212.93,5914286
2020-08-06,211.05,211.43,210.38,210.79,2494750
2020-08-07,210.89,211.12,210.1,210.19,6153632
2020-08-10,210.29,210.37,210.25,210.33,1937863
2020-08-11,208.28,210.32,207.73,207.99,1408024
2020-08-12,208.75,208.87,208.62,208.79,3314528
2020-08-13,207.33,207.47,207.18,207.43,2560352
2020-08-14,210.56,211.94,209.48,210.54,3352676
2020-08-17,210.1,210.22,209.91,209.95,4400342
2020-08-18,211.13,211.26,210.62,211.18,3703775
2020-08-19,211.9,211.98,211.67,211.72,1653792
2020-08-20,211.17,211.84,210.71,211.2,3037644
2020-08-21,209.03,209.47,208.76,209.21,4237113
2020-08-24,208.09,208.3,207.7,208.19,3694661
2020-08-25,211.05,212.2,210.76,210.78,6469441
2020-08-26,212.88,213.31,212.37,212.68,5396867
2020-08-27,212.18,212.25,212.16,212.16,5771943
2020-08-28,212.8,212.91,212.69,212.78,2732203
2020-08-31,212.1,213.22,210.01,211.06,1755924
2020-09-01,210.68,210.75,210.49,210.73,5381583
2020-09-02,209.55,209.61,209.37,209.38,4406676
2020-09-03,208.39,208.89,208.22,208.34,4067146
2020-09-04,211.11,211.4,210.42,211.18,3926451
2020-09-07,225.71,227.56,221.94,226.51,2355898
2020-09-08,223.58,224.46,222.23,224.36,7131674
2020-09-09,207.81,210.67,202.53,210.36,8108103
2020-09-10,206.07,208.76,202.39,202.94,2580122
2020-09-11,205.84,207.51,202.74,206.38,1989917
2020-09-14,200.42,202.57,197.54,199.55,3086397
2020-09-15,205.1,205.62,204.61,204.9,5321095
2020-09-16,202.26,202.31,202.15,202.27,3905684
2020-09-17,202.56,202.62,202.31,202.37,9566540
2020-09-18,208.39,210.32,203.45,206.38,10124679
2020-09-21,217.31,218.41,216.39,216.55,2380698
2020-09-22,209.05,209.56,208.16,209.15,3109476
2020-09-23,220.53,221.11,220.13,220.58,4191028
2020-09-24,214.14,215.91,207.29,210.23,7036763
2020-09-25,213.66,214.47,212.93,214.19,4463678
2020-09-28,226.52,227.93,222.6,222.71,2530395
2020-09-29,233.1,239.56,226.6,228.18,5269928
2020-09-30,230.23,230.5,229.92,230.21,5999762
2020-10-01,232.25,232.59,231.03,231.8,2865277
2020-10-02,229.94,230.98,229.21,229.89,3813115
2020-10-05,228.4,229.06,227.86,228.57,3362944
2020-10-06,230.51,232.23,228.68,232.17,2538149
2020-10-07,236.38,236.75,236.09,236.2,1596103
2020-10-08,237.07,237.16,236.86,236.88,4104478
2020-10-09,234.28,234.8,234.05,234.17,6412311
2020-10-12,229.62,231.36,228.69,229.85,4777219
2020-10-13,230.5,230.59,230.38,230.42,2284584
2020-10-14,230.31,230.34,230.3,230.3,6087794
2020-10-15,234.48,234.99,233.86,234.19,5491313
2020-10-16,245.74,247.07,243.89,244.72,7260700
2020-10-19,236.94,237.8,233.77,235.1,10338246
2020-10-20,235.23,235.26,235.21,235.23,4692768
2020-10-21,222.45,224.47,219.39,223.73,9801080
2020-10-22,231.35,234.32,226.14,234.06,3758793
2020-10-23,237.4,238.54,235.9,237.89,2179332
