date,open,high,low,close,volume
2020-04-24,159.93,160.12,159.85,160.0,2726519
2020-04-27,162.11,163.68,161.67,163.47,8867907
2020-04-28,162.54,162.83,162.07,162.49,3719309
2020-04-29,160.19,160.73,159.71,160.47,7087254
2020-04-30,159.27,159.93,159.06,159.62,1955509
2020-05-01,162.6,163.33,160.62,161.16,4527314
2020-05-04,163.72,164.03,162.85,163.18,1789326
2020-05-05,164.57,165.39,163.8,165.27,4313185
2020-05-06,166.47,166.51,166.43,166.46,4313143
2020-05-07,165.8,166.08,165.63,165.98,3275490
2020-05-08,169.49,169.52,169.41,169.49,4489169
2020-05-11,169.34,169.46,169.28,169.31,2441876
2020-05-12,169.2,169.25,169.12,169.12,2545190
2020-05-13,170.3,170.63,169.48,170.03,3879576
2020-05-14,172.42,173.19,172.09,172.88,3234841
2020-05-15,174.99,175.49,174.24,174.24,3018108
2020-05-18,175.56,176.16,175.19,175.65,3545669
2020-05-19,176.88,177.3,176.12,176.44,9532934
2020-05-20,174.94,175.33,174.69,175.15,1174183
2020-05-21,175.15,175.23,175.12,175.18,2983712
2020-05-22,175.8,176.91,175.12,176.36,3563895
2020-05-25,172.43,174.03,171.9,173.89,2125621
2020-05-26,178.5,179.59,178.1,178.24,4258537
2020-05-27,176.12,176.66,175.98,176.06,3606994
2020-05-28,172.96,174.15,172.07,173.24,4806117
2020-05-29,170.91,171.93,170.65,170.85,3141313
2020-06-01,170.37,170.43,170.23,170.36,4059276
2020-06-02,170.27,170.3,170.21,170.25,1231107
2020-06-03,169.52,169.6,169.36,169.44,1685493
2020-06-04,172.71,172.97,172.33,172.78,8229692
2020-06-05,171.76,172.19,171.1,171.86,1745070
2020-06-08,174.09,174.88,173.18,174.17,6344365
2020-06-09,175.67,175.76,175.3,175.65,2934215
2020-06-10,175.81,175.9,175.74,175.84,5897262
2020-06-11,172.53,173.83,172.08,173.62,11188455
2020-06-12,169.23,171.65,167.55,168.96,2500534
2020-06-15,168.64,168.76,168.55,168.68,4858921
2020-06-16,169.7,170.3,169.48,169.75,4076498
2020-06-17,171.07,171.14,170.92,171.0,4352566
2020-06-18,171.55,171.59,171.43,171.54,3005765
2020-06-19,170.4,170.58,170.23,170.28,3723074
2020-06-22,169.16,169.3,168.72,168.99,1148055
2020-06-23,165.24,166.16,164.88,165.37,2722995
2020-06-24,167.54,169.09,166.45,167.25,2261891
2020-06-25,168.95,169.32,168.13,168.43,4035581
2020-06-26,171.07,171.81,169.97,170.03,2314565
2020-06-29,167.82,168.55,167.6,167.88,3917264
2020-06-30,168.33,168.44,168.26,168.37,2601430
2020-07-01,169.16,169.24,168.89,169.06,1409891
2020-07-02,168.74,168.77,168.68,168.75,1712120
2020-07-03,170.86,171.65,170.25,171.19,2831763
2020-07-06,172.56,174.44,172.09,172.63,4898910
2020-07-07,171.68,172.04,171.18,171.87,5469672
2020-07-08,172.04,172.05,172.0,172.0,2858791
2020-07-09,168.44,169.25,167.85,168.6,3461956
2020-07-10,168.92,169.07,168.58,169.06,1705707
2020-07-13,169.1,169.23,168.98,169.0,5818601
