date,open,high,low,close,volume
2020-04-24,3396.94,3402.33,3391.26,3400.0,2601301
2020-04-27,3359.13,3385.63,3346.91,3358.74,2529589
2020-04-28,3338.98,3345.21,3333.65,3342.44,2837657
2020-04-29,3314.7,3331.1,3288.77,3319.01,3951327
2020-04-30,3372.7,3388.66,3321.58,3359.99,1648605
2020-05-01,3336.49,3369.39,3320.66,3342.09,5300675
2020-05-04,3339.59,3397.7,3323.91,3366.52,1753103
2020-05-05,3460.72,3479.06,3452.06,3462.94,7080246
2020-05-06,3546.44,3559.79,3506.1,3525.42,3399728
2020-05-07,3504.88,3511.15,3498.23,3505.36,4367696
2020-05-08,3502.56,3519.15,3480.25,3489.9,8964308
2020-05-11,3519.34,3532.81,3484.77,3513.32,2275666
2020-05-12,3439.97,3456.75,3423.03,3434.31,3185099
2020-05-13,3389.41,3424.24,3373.01,3394.82,1874518
2020-05-14,3406.98,3444.31,3380.21,3419.39,2424857
2020-05-15,3424.31,3431.72,3404.47,3414.8,1818177
2020-05-18,3515.47,3525.39,3500.15,3508.95,4646031
2020-05-19,3497.31,3511.05,3461.03,3480.33,2220431
2020-05-20,3433.41,3469.62,3418.5,3431.51,2027685
2020-05-21,3362.21,3405.96,3333.63,3390.75,2161848
2020-05-22,3403.53,3412.33,3372.62,3392.7,1732201
2020-05-25,3385.77,3405.51,3366.4,3386.43,3939824
2020-05-26,3493.2,3524.79,3456.9,3494.07,5138728
2020-05-27,3471.64,3510.97,3444.1,3476.11,5559499
2020-05-28,3474.0,3510.47,3460.65,3480.06,1305410
2020-05-29,3510.4,3553.39,3488.71,3524.31,4410822
2020-06-01,3512.55,3550.24,3465.68,3520.37,4654041
2020-06-02,3569.13,3598.98,3533.94,3548.93,4642446
2020-06-03,3563.05,3595.39,3548.56,3569.77,3250422
2020-06-04,3630.36,3638.55,3612.41,3612.8,7817105
2020-06-05,3536.86,3544.78,3529.71,3544.34,1277114
2020-06-08,3567.34,3610.04,3528.48,3585.61,2203870
2020-06-09,3560.67,3583.06,3552.82,3580.1,3809629
2020-06-10,3588.91,3610.24,3575.81,3590.77,1951179
2020-06-11,3590.3,3605.94,3564.48,3572.94,2452803
2020-06-12,3668.45,3680.07,3636.37,3657.43,6397465
2020-06-15,3556.85,3575.91,3547.32,3556.48,2415518
2020-06-16,3622.16,3638.6,3607.73,3627.5,3138898
2020-06-17,3584.28,3614.52,3576.66,3594.89,2089191
2020-06-18,3669.65,3680.9,3645.88,3673.27,1575233
2020-06-19,3710.86,3750.33,3668.11,3737.39,7075260
2020-06-22,3765.76,3792.4,3750.01,3791.78,4723043
2020-06-23,3837.12,3843.72,3814.7,3837.0,5671972
2020-06-24,3942.82,3962.44,3931.64,3960.93,3786683
2020-06-25,3910.37,3941.88,3890.69,3929.9,2680261
2020-06-26,3888.87,3907.15,3874.99,3899.85,2014622
2020-06-29,3845.29,3869.0,3837.66,3866.03,6251147
2020-06-30,3942.22,3959.98,3901.8,3917.41,2052362
2020-07-01,3867.21,3877.87,3845.21,3848.97,1775791
2020-07-02,3889.18,3915.01,3872.72,3904.77,5978382
2020-07-03,3909.7,3939.61,3855.84,3890.67,4614574
2020-07-06,3848.01,3867.56,3826.12,3834.98,5470697
2020-07-07,3781.79,3787.65,3775.7,3779.57,1720018
2020-07-08,3758.65,3795.06,3732.22,3739.49,2367734
2020-07-09,3641.79,3692.75,3615.77,3664.66,4018047
2020-07-10,3688.07,3701.64,3683.67,3692.27,2351009
2020-07-13,3729.23,3758.32,3706.01,3737.53,1788470
2020-07-14,3815.77,3829.89,3765.74,3788.96,5459428
2020-07-15,3735.18,3771.04,3725.83,3757.63,3661831
2020-07-16,3774.43,3784.39,3746.95,3775.14,4181031
2020-07-17,3768.44,3778.42,3758.87,3776.85,2895119
2020-07-20,3810.35,3820.24,3785.13,3814.67,14009799
2020-07-21,3836.72,3847.2,3808.7,3839.72,1205506
2020-07-22,3818.28,3856.09,3808.25,3845.98,9667362
2020-07-23,3757.27,3778.91,3743.02,3749.62,1272063
2020-07-24,3766.77,3796.95,3723.7,3742.4,3615993
2020-07-27,3750.0,3758.58,3718.6,3749.58,1654078
2020-07-28,3729.93,3743.88,3690.61,3715.06,5850287
2020-07-29,3684.1,3715.85,3669.16,3702.64,4319809
2020-07-30,3644.31,3665.45,3613.71,3637.95,2780696
2020-07-31,3609.22,3625.8,3600.25,3623.17,5143352
2020-08-03,3669.24,3691.23,3631.99,3650.05,2486356
2020-08-04,3745.91,3773.27,3708.51,3758.7,4311429
2020-08-05,3708.4,3718.15,3705.37,3707.72,2412260
2020-08-06,3682.29,3721.26,3649.83,3707.9,6248921
2020-08-07,3660.03,3666.85,3649.65,3660.21,3657249
2020-08-10,3661.87,3681.81,3651.03,3656.91,2244941
2020-08-11,3643.5,3655.38,3597.8,3646.97,4351833
2020-08-12,3699.84,3710.39,3668.98,3690.72,4341270
2020-08-13,3754.53,3804.86,3687.3,3742.3,3653286
2020-08-14,3752.53,3804.95,3681.26,3752.18,2752128
2020-08-17,3770.0,3797.2,3740.1,3747.66,2142947
2020-08-18,3795.02,3811.26,3785.16,3811.24,6050714
2020-08-19,3810.19,3849.64,3751.69,3822.2,4072783
2020-08-20,3916.24,3936.22,3886.84,3904.86,1369757
2020-08-21,3746.05,3830.51,3722.72,3818.88,5184797
2020-08-24,3924.38,3934.27,3900.59,3915.85,2634196
2020-08-25,3907.57,3930.18,3873.17,3883.95,10791069
2020-08-26,3823.48,3865.28,3786.39,3827.36,3102008
2020-08-27,3820.28,3847.52,3752.01,3826.44,2300086
2020-08-28,3768.72,3782.08,3746.74,3766.66,2949384
2020-08-31,3779.95,3806.62,3758.18,3797.92,4327696
